id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1021551513,La Historia De Los Mundiales De Futbol - Dvd Video,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1021551513-la-historia-de-los-mundiales-de-futbol-dvd-video-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,50000,,1,True,2042-10-20T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,[],,,87550573,MARMAR13,36.0,1388.89,0.0,COP,DVD
MCO911439388,Saga Completa Dragon Ball,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-911439388-saga-completa-dragon-ball-_JM,buy_it_now,MCO,MCO5633,MCO-TV_SERIES,29900,,250,True,2042-06-14T04:00:00.000Z,False,[],MCO1168,False,False,not_specified,not_specified,[],,,171048984,IROBOTIC,12.0,2491.67,0.0,COP,
MCO1361770549,Cd: Sé El Vaquero,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1361770549-cd-se-el-vaquero-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,145354,,50,True,2043-11-13T04:00:00.000Z,False,[],MCO1168,False,True,cross_docking,me2,['mandatory_free_shipping'],,,817708959,THEBOOKSTORECO,12.0,12112.83,0.0,COP,DEAD OCEANS
MCO593685455,Kiss - Revenge - Cd Original Nuevo Importado,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-593685455-kiss-revenge-cd-original-nuevo-importado-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,70000,,1,True,2040-11-04T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,[],,,499571,DISIDENCIA STORE,36.0,1944.44,0.0,COP,
MCO602205937,J. Balvin - Colores,new,MCO22426113,gold_special,https://articulo.mercadolibre.com.co/MCO-602205937-j-balvin-colores-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,39900,,1,True,2041-01-11T04:00:00.000Z,False,[],MCO1168,False,False,drop_off,me2,[],,,45078463,TELOCOMPROUSA,36.0,1108.33,0.0,COP,
MCO649370188,Fundas - 78 Rpm,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-649370188-fundas-78-rpm-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,55000,,1,True,2041-07-18T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,4583.33,0.0,COP,
MCO1041756527,Legoz Zqz Furia De Titanes 2 - Dvd - Fisico - Ref- 351,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1041756527-legoz-zqz-furia-de-titanes-2-dvd-fisico-ref-351-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,31711,,1,True,2042-10-31T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,63703417,COMPU TOYS,12.0,2642.58,0.0,COP,DVD
MCO826101439,The Rolling Stones - England's Newest Hit Makers,new,MCO24388765,gold_pro,https://articulo.mercadolibre.com.co/MCO-826101439-the-rolling-stones-englands-newest-hit-makers-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,80000,,1,True,2041-10-23T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,6666.67,0.0,COP,
MCO860096261,El Disco De La Salsa Vol.9 Lp Vinilo Acetato,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-860096261-el-disco-de-la-salsa-vol9-lp-vinilo-acetato-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,40000,,1,True,2043-12-02T01:34:32.894Z,False,[],MCO1168,False,False,xd_drop_off,me2,[],,,770822151,OLDWOLF RECORDSTORE,36.0,1111.11,0.0,COP,
MCO951078491,Serie Dragon Ball Sagas Completas - Full Hd 1080p Bluray Mkv,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-951078491-serie-dragon-ball-sagas-completas-full-hd-1080p-bluray-mkv-_JM,buy_it_now,MCO,MCO5633,MCO-TV_SERIES,179900,,1,True,2042-08-22T04:00:00.000Z,False,[],MCO1168,False,True,drop_off,me2,['mandatory_free_shipping'],,,130852877,ANIME CINEMANEKI,36.0,4997.22,0.0,COP,MKV Bluray
