id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO568122125,Cartas De Iwo Jima Blu-ray,new,MCO27666447,gold_special,https://articulo.mercadolibre.com.co/MCO-568122125-cartas-de-iwo-jima-blu-ray-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,103900,1,,True,2040-06-21T04:00:00.000Z,False,[],,MCO1168,False,True,cross_docking,me2,"['fs_threshold_mco_change_apr2021', 'mandatory_free_shipping']",,,221747504,ANICAM-BUSINESS,36.0,2886.11,0.0,COP,Blu-Ray
MCO1352610833,Oasis - Time Flies 1994 / 2009,new,MCO23067241,gold_special,https://www.mercadolibre.com.co/oasis-time-flies-greatest-hits-2-cd-nuevo-original-gallagher/p/MCO23067241,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,125000,1,,True,2043-10-21T04:00:00.000Z,True,[],,MCO1168,False,True,drop_off,me2,['mandatory_free_shipping'],,,489322202,JUIV2266616,36.0,3472.22,0.0,COP,
MCO1370069981,Eurythmic Sweet Dreams Are Made Of This 150gr 1 Vinilo Versión Del Álbum Remasterizado,new,MCO22834865,gold_special,https://www.mercadolibre.com.co/eurythmic-sweet-dreams-are-made-of-this-150gr-1-vinilo-version-del-album-remasterizado/p/MCO22834865,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,182000,1,,True,2043-12-04T04:00:00.000Z,True,[],,MCO1168,False,True,drop_off,me2,['mandatory_free_shipping'],,,489322202,JUIV2266616,36.0,5055.56,0.0,COP,
MCO1372506723,Concierto Oficial De Kpop Con Bluetooth Lightstick App Stray,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1372506723-concierto-oficial-de-kpop-con-bluetooth-lightstick-app-stray-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,288552,150,,True,2043-12-13T04:00:00.000Z,False,[],,MCO1168,False,True,cross_docking,me2,['mandatory_free_shipping'],,,1312298252,CNSKY2-COR,12.0,24046.0,0.0,COP,Generic
MCO1383238767,Box 5 Lps George Harrison: 50 Aniversario De All Things Must Pass,new,MCO28539755,gold_pro,https://www.mercadolibre.com.co/box-5-lps-george-harrison-50-aniversario-de-all-things-must-pass/p/MCO28539755,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,6129900,1,,True,2044-01-14T04:00:00.000Z,True,[],,MCO1168,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,655393932,IMPOCOLOMBIA2,12.0,510825.0,0.0,COP,
MCO1386590325,"Alejandro Sanz Mtv Unplugged, 2xlp, Importado",new,MCO28069913,gold_special,https://www.mercadolibre.com.co/alejandro-sanz-mtv-unplugged-2xlp-importado/p/MCO28069913,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,249900,1,,True,2044-01-24T04:00:00.000Z,True,[],,MCO1168,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,87840522,REPUBLIKA RECORDS,36.0,6941.67,0.0,COP,
MCO568175874,Dvd Buscando A Nemo (edición De Coleccionista De Dos Discos),new,,gold_special,https://articulo.mercadolibre.com.co/MCO-568175874-dvd-buscando-a-nemo-edicion-de-coleccionista-de-dos-discos-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,103900,50,,True,2040-06-21T04:00:00.000Z,False,[],,MCO1168,False,True,cross_docking,me2,['mandatory_free_shipping'],,,221747504,ANICAM-BUSINESS,36.0,2886.11,0.0,COP,DVD
MCO1469240814,Amy Winehouse - Frank,new,MCO22507513,gold_pro,https://articulo.mercadolibre.com.co/MCO-1469240814-amy-winehouse-frank-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,60000,1,,True,2043-04-13T04:00:00.000Z,False,[],,MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,5000.0,0.0,COP,
MCO1508877834,Cd Maroon 5 - Jordi Y Sellado Jewel Obivinilos,new,MCO22664543,gold_pro,https://www.mercadolibre.com.co/cd-maroon-5-jordi-y-sellado-jewel-obivinilos/p/MCO22664543,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,59000,1,,True,2043-04-22T04:00:00.000Z,True,[],,MCO1168,False,True,drop_off,me2,[],,,1103043220,MUSICA DISCOLASER,12.0,4916.67,0.0,COP,
MCO1554874630,Cd - Jbaivin Jose,new,MCO22909030,gold_pro,https://www.mercadolibre.com.co/cd-jbaivin-jose/p/MCO22909030,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,59000,1,,True,2043-05-03T04:00:00.000Z,True,[],,MCO1168,False,True,drop_off,me2,[],,,1103043220,MUSICA DISCOLASER,12.0,4916.67,0.0,COP,
MCO1554897148,Megadeth Anthology Set The World Afire 2 Discos Cd ,new,MCO22642415,gold_pro,https://www.mercadolibre.com.co/megadeth-anthology-set-the-world-afire-2-discos-cd/p/MCO22642415,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,89000,1,,True,2043-05-03T04:00:00.000Z,True,[],,MCO1168,False,True,drop_off,me2,['MCO-chg-threshold-Jan-23'],,,1103043220,MUSICA DISCOLASER,12.0,7416.67,0.0,COP,
MCO1554919542,Angles - The Strokes - Disco Cd - (10 Canciones,new,MCO22908934,gold_pro,https://www.mercadolibre.com.co/angles-the-strokes-disco-cd-10-canciones/p/MCO22908934,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,65000,1,,True,2043-05-03T04:00:00.000Z,True,[],,MCO1168,False,True,drop_off,me2,[],,,1103043220,MUSICA DISCOLASER,12.0,5416.67,0.0,COP,
MCO568204220,Scott Pilgrim Vs. El Mundo [blu-ray],new,MCO24811555,gold_special,https://articulo.mercadolibre.com.co/MCO-568204220-scott-pilgrim-vs-el-mundo-blu-ray-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,174900,1,,True,2040-06-21T04:00:00.000Z,False,[],,MCO1168,False,True,cross_docking,me2,['mandatory_free_shipping'],,,221747504,ANICAM-BUSINESS,36.0,4858.33,0.0,COP,Blu-Ray
MCO1648773542,Vinilo Depeche Mode 101 Nuevo Sellado 2 Lp Incluye Envío,new,MCO23518201,gold_special,https://www.mercadolibre.com.co/vinilo-depeche-mode-101-nuevo-sellado-2-lp-incluye-envio/p/MCO23518201,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,299900,1,,True,2043-06-08T04:00:00.000Z,True,[],,MCO1168,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,87840522,REPUBLIKA RECORDS,36.0,8330.56,0.0,COP,
MCO1649436498,Carcass - Symphonies Of Sickness Lp,new,MCO22885289,gold_special,https://www.mercadolibre.com.co/carcass-symphonies-of-sickness-lp/p/MCO22885289,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,215000,1,,True,2043-06-08T04:00:00.000Z,True,[],,MCO1168,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,275941226,IVNDAROARCINIEGASRQUIRA,36.0,5972.22,0.0,COP,
MCO1651033292,Metallica Through The Never 2 Cds ,new,MCO22607648,gold_special,https://www.mercadolibre.com.co/metallica-through-the-never-2-cds/p/MCO22607648,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,115000,1,,True,2043-06-09T04:00:00.000Z,True,[],,MCO1168,False,True,drop_off,me2,['mandatory_free_shipping'],,,489322202,JUIV2266616,36.0,3194.44,0.0,COP,
MCO1680119954,Footloose Original Soundtrack Vinilo Nuevo Importado,new,MCO23057954,gold_special,https://www.mercadolibre.com.co/footloose-original-soundtrack-vinilo-nuevo-importado/p/MCO23057954,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,149900,1,,True,2043-06-24T04:00:00.000Z,True,[],,MCO1168,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,87840522,REPUBLIKA RECORDS,36.0,4163.89,0.0,COP,
MCO1769533556,Kali Uchis Red Moon In Venus Cd Importado,new,MCO23463915,gold_special,https://www.mercadolibre.com.co/kali-uchis-red-moon-in-venus-cd-importado/p/MCO23463915,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,82900,1,1173.0,True,2043-07-30T04:00:00.000Z,True,[],Centro Comercial Avenida Chile,MCO1168,False,False,xd_drop_off,me2,[],,,571683735,COMERCIALCARDONAHERMANOSSAS,36.0,2302.78,0.0,COP,
MCO568487616,La Antología De Los Beatles,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-568487616-la-antologia-de-los-beatles-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,734900,1,,True,2040-06-24T04:00:00.000Z,False,[],,MCO1168,False,True,cross_docking,me2,['mandatory_free_shipping'],,,221747504,ANICAM-BUSINESS,36.0,20413.89,0.0,COP,
MCO1806666362,Stranger Things: Seasons One And Two Vinilo Importado,new,MCO25860472,gold_special,https://www.mercadolibre.com.co/stranger-things-seasons-one-and-two-vinilo-importado/p/MCO25860472,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,229900,1,,True,2043-08-16T04:00:00.000Z,True,[],,MCO1168,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,87840522,REPUBLIKA RECORDS,36.0,6386.11,0.0,COP,
MCO1902359740,Cd Chayanne - Mi Tiempo ¡ Y Sellado,new,MCO23610614,gold_pro,https://www.mercadolibre.com.co/cd-chayanne-mi-tiempo-y-sellado/p/MCO23610614,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,45000,1,,True,2043-09-06T04:00:00.000Z,True,[],,MCO1168,False,True,drop_off,me2,[],,,1103043220,MUSICA DISCOLASER,12.0,3750.0,0.0,COP,
MCO2055144304,Lp Pacheco Lavoe Colon Ricardo Bobby Asalto Navideño Salsa,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-2055144304-lp-pacheco-lavoe-colon-ricardo-bobby-asalto-navideno-salsa-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,40000,1,,True,2043-11-22T04:00:00.000Z,False,[],,MCO1168,False,False,xd_drop_off,me2,[],,,140794196,CALIROCK,36.0,1111.11,0.0,COP,
MCO2086832150,The Rolling Stones It's Only Rock N Roll 1 Vinilo Versión Del Álbum Remasterizado,new,MCO22493959,gold_special,https://www.mercadolibre.com.co/the-rolling-stones-its-only-rock-n-roll-1-vinilo-version-del-album-remasterizado/p/MCO22493959,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,175000,1,,True,2043-12-04T04:00:00.000Z,True,[],,MCO1168,False,True,drop_off,me2,['mandatory_free_shipping'],,,489322202,JUIV2266616,36.0,4861.11,0.0,COP,
MCO2093254466,Miley Cyrus Endless Summer Vacation Vinilo Lp Import Nuevo,new,MCO23046638,gold_special,https://www.mercadolibre.com.co/miley-cyrus-endless-summer-vacation-vinilo-lp-import-nuevo/p/MCO23046638,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,209900,1,1173.0,True,2043-12-08T04:00:00.000Z,True,[],Centro Comercial Avenida Chile,MCO1168,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,571683735,COMERCIALCARDONAHERMANOSSAS,36.0,5830.56,0.0,COP,
MCO2104681462,Disco Vinilo Fleetwood Mac: Greatest Hits,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-2104681462-disco-vinilo-fleetwood-mac-greatest-hits-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,167550,1,,True,2043-12-14T04:00:00.000Z,False,[],,MCO1168,False,True,cross_docking,me2,['mandatory_free_shipping'],,,218237182,SIMARO.CO,36.0,4654.17,0.0,COP,
MCO572821488,Alicia En El País De Las Maravillas (blu-ray 3d),new,,gold_special,https://articulo.mercadolibre.com.co/MCO-572821488-alicia-en-el-pais-de-las-maravillas-blu-ray-3d-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,105900,1,,True,2040-07-19T04:00:00.000Z,False,[],,MCO1168,False,True,cross_docking,me2,"['fs_threshold_mco_change_apr2021', 'fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",,,221747504,ANICAM-BUSINESS,36.0,2941.67,0.0,COP,Blu-Ray
MCO2170655276,The Police Synchronicity Lp Vinyl,new,MCO22659785,gold_special,https://www.mercadolibre.com.co/the-police-synchronicity-lp-vinyl/p/MCO22659785,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,249900,1,,True,2044-01-18T04:00:00.000Z,True,[],,MCO1168,False,True,xd_drop_off,me2,"['mandatory_free_shipping', 'self_service_out']",,,87840522,REPUBLIKA RECORDS,36.0,6941.67,0.0,COP,
MCO2205662138,Vinilo Beatles The - Rubber Soul- Lp Remasterizado Nuevo,new,MCO28110388,gold_special,https://www.mercadolibre.com.co/vinilo-beatles-the-rubber-soul-lp-remasterizado-nuevo/p/MCO28110388,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,175000,1,,True,2044-02-06T04:00:00.000Z,True,[],,MCO1168,False,True,drop_off,me2,['mandatory_free_shipping'],,,489322202,JUIV2266616,36.0,4861.11,0.0,COP,
