id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1177659846,Dvd Bob Esponja: Hogar Dulce Piña / 8 Episodios / Como Nuevo,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1177659846-dvd-bob-esponja-hogar-dulce-pina-8-episodios-como-nuevo-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,64900,1,True,2042-12-31T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,639160850,GOODBETMUSIC,36.0,1802.78,0.0,COP,DVD
MCO930483407,Serie Completa Game Of Thrones,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-930483407-serie-completa-game-of-thrones-_JM,buy_it_now,MCO,MCO5633,MCO-TV_SERIES,39900,250,True,2042-07-18T04:00:00.000Z,False,[],MCO1168,False,False,not_specified,not_specified,[],,,171048984,IROBOTIC,12.0,3325.0,0.0,COP,
MCO951525905,Lp Vinilo Donna Summers Bad Girls  1979 Ojo Solo Vinilo # 2,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-951525905-lp-vinilo-donna-summers-bad-girls-1979-ojo-solo-vinilo-2-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,30000,1,True,2042-08-24T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,[],,,144233416,VINILOSMAOMIX,36.0,833.33,0.0,COP,
MCO1022618563,Funko Pop Bojack Horseman - Bojack Horseman 228,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1022618563-funko-pop-bojack-horseman-bojack-horseman-228-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,119248,500,True,2042-10-22T04:00:00.000Z,False,[],MCO1168,False,True,drop_off,me2,['mandatory_free_shipping'],,,1094085416,CNHANDLIST-COR,12.0,9937.33,0.0,COP,
MCO1187875979,Serie One Piece Latino Japones Bluray,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1187875979-serie-one-piece-latino-japones-bluray-_JM,buy_it_now,MCO,MCO5633,MCO-TV_SERIES,560000,1,True,2043-01-05T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,78347570,ALKALORD,12.0,46666.67,0.0,COP,
MCO1199037499,Cd Vicente Fernandez Necesito De Ti..,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1199037499-cd-vicente-fernandez-necesito-de-ti-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,35000,1,True,2043-01-16T04:00:00.000Z,False,[],MCO1168,False,False,not_specified,not_specified,[],,,444239607,DISCOLASERMUSICENTERTAINMENT,12.0,2916.67,0.0,COP,
MCO1195796744,Dvd Película Sin Tetas No Hay Paraíso - Nueva Sellada,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1195796744-dvd-pelicula-sin-tetas-no-hay-paraiso-nueva-sellada-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,36900,1,True,2043-01-12T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,639160850,GOODBETMUSIC,36.0,1025.0,0.0,COP,DVD
MCO1262285538,Gianluca Grignani Destino Paraiso Lp Vinyl Rare 1995 Mercury,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1262285538-gianluca-grignani-destino-paraiso-lp-vinyl-rare-1995-mercury-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,790000,1,True,2043-02-22T04:00:00.000Z,False,[],MCO1168,False,True,drop_off,me2,[],,,132184821,VINYL SHOP,36.0,21944.44,0.0,COP,
MCO1279659109,Kpop Set Album Blackpink Born Pink ( Ver. Rosa+ Negra+ Gris),new,MCO23463765,gold_special,https://articulo.mercadolibre.com.co/MCO-1279659109-kpop-set-album-blackpink-born-pink-ver-rosa-negra-gris-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,360000,1,True,2043-03-29T04:00:00.000Z,False,[],MCO1168,False,True,drop_off,me2,['mandatory_free_shipping'],,,316233997,SENSHIGEEK,36.0,10000.0,0.0,COP,
MCO1293296989,Álbum Taste Of Love Twice Kpop Set Completo 3 Versiones,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1293296989-album-taste-of-love-twice-kpop-set-completo-3-versiones-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,658968,1,True,2043-05-04T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,263065566,DISRUPTIVOS,36.0,18304.67,0.0,COP,
