id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1297913005,Ecobaño-aloe Vera Baño Corporal 10 - Unidad a $3000,new,MCO23011658,gold_pro,https://www.mercadolibre.com.co/ecobano-aloe-vera-bano-corporal-10-unidades/p/MCO23011658,buy_it_now,MCO,MCO180999,MCO-HYGIENIC_WET_WIPES,95000,,1,,True,2043-05-18T04:00:00.000Z,True,[],,MCO1246,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,456025405,FASA6384322,12.0,7916.67,0.0,COP,Ecobaño
MCO2002674334,Afeitadora Electrica Shaver Rasuradora Recargable Vgr V-306,new,MCO22842069,gold_special,https://www.mercadolibre.com.co/afeitadora-electrica-shaver-rasuradora-recargable-vgr-v-306/p/MCO22842069,buy_it_now,MCO,MCO5411,MCO-HAIR_CLIPPERS_ELECTRIC_SHAVERS_AND_HAIR_TRIMMERS,75000,,1,,True,2043-10-27T04:00:00.000Z,True,[],,MCO1246,False,False,cross_docking,me2,['self_service_out'],,,266229640,MONELASHOP,36.0,2083.33,0.0,COP,VGR
MCO1720500218,Cortadora De Litio Profoil - Andis,new,MCO20714998,gold_special,https://www.mercadolibre.com.co/cortadora-de-litio-profoil-andis/p/MCO20714998,buy_it_now,MCO,MCO441193,MCO-HAIR_CLIPPERS_ELECTRIC_SHAVERS_AND_HAIR_TRIMMERS,237000,384900.0,100,,True,2043-10-05T17:54:51.000Z,True,[],,MCO1246,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,296610351,BET SUPPLIERSAS,36.0,6583.33,0.0,COP,Andis
MCO1554891276,Sérum Caffeine Solution 5% + Egcg The Ordinary Eye Serums Día/noche Para Todo Tipo De Piel De 30ml,new,MCO14713241,gold_pro,https://www.mercadolibre.com.co/serum-caffeine-solution-5-egcg-the-ordinary-eye-serums-dianoche-para-todo-tipo-de-piel-de-30ml/p/MCO14713241,buy_it_now,MCO,MCO180917,MCO-FACIAL_SKIN_CARE_PRODUCTS,72000,,1,,True,2043-05-03T04:00:00.000Z,True,[],,MCO1246,False,False,xd_drop_off,me2,['self_service_in'],,,645374654,FEELBETTERCOSMETICS,12.0,6000.0,0.0,COP,The Ordinary
MCO2015908970,Victoria's Secret Pure Seduction Mist B - mL a $327,new,MCO3820047,gold_special,https://www.mercadolibre.com.co/victorias-secret-pure-seduction-mist-body-mist-250ml-para-mujer/p/MCO3820047,buy_it_now,MCO,MCO1271,MCO-PERFUMES,75920,75920.0,1,,True,2043-11-05T04:00:00.000Z,True,[],,MCO1246,False,False,xd_drop_off,me2,['self_service_in'],,,633874151,BOUTIQUECOLOMBIA S.A.S,36.0,2108.89,0.0,COP,Victoria's Secret
MCO1751857864,Pasta Dental Natural Himalaya - Simply M - g a $367,new,MCO21771392,gold_pro,https://www.mercadolibre.com.co/pasta-dental-natural-himalaya-simply-mint-menta/p/MCO21771392,buy_it_now,MCO,MCO181053,MCO-TOOTHPASTES,55000,,1,,True,2043-07-24T04:00:00.000Z,True,[],,MCO1246,False,True,xd_drop_off,me2,[],,,175820280,LIFEFIT PLUS,12.0,4583.33,0.0,COP,Himalaya
MCO1315441041,Cristalli Liquido Semi Di Lino Diamont - mL a $1926,new,MCO19560119,gold_special,https://www.mercadolibre.com.co/cristalli-liquido-semi-di-lino-diamont-alfa-parf-50ml-brillo/p/MCO19560119,buy_it_now,MCO,MCO1266,MCO-HAIR_TREATMENTS,96300,,1,,True,2043-07-10T04:00:00.000Z,True,[],,MCO1246,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,304779348,MECHU2PELUQUERIA,36.0,2675.0,0.0,COP,Alfaparf Milano
MCO1784321246,Isdin Fotoprotector Compacto 50+ Arena - g a $10000,new,MCO19542214,gold_pro,https://www.mercadolibre.com.co/isdin-fotoprotector-compacto-50-arena-x-10g/p/MCO19542214,buy_it_now,MCO,MCO167689,MCO-SUNSCREENS,90155,94900.0,1,,True,2043-08-05T04:00:00.000Z,True,[],,MCO1246,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,313537900,JUNKFELIPEOSPINA,12.0,7512.92,0.0,COP,Isdin
MCO1226110655,Tinte Men Express Permanente 70 Castaño - g a $268,new,MCO21445983,gold_special,https://www.mercadolibre.com.co/tinte-men-express-permanente-70-castano-oscuro-natural-tub/p/MCO21445983,buy_it_now,MCO,MCO180942,MCO-HAIR_AND_FACE_DYES_AND_BLEACHES,29832,33900.0,1,,True,2043-02-01T04:00:00.000Z,True,[],,MCO1246,False,False,cross_docking,me2,['self_service_in'],,,149996738,MAGIC MECHAS,36.0,828.67,0.0,COP,Men Express
MCO1392461793,Lubricante Intimo Caliente Sabor Caramelo,new,MCO20949967,gold_pro,https://www.mercadolibre.com.co/lubricante-intimo-caliente-sabor-caramelo/p/MCO20949967,buy_it_now,MCO,MCO180840,MCO-PERSONAL_LUBRICANTS_AND_GELS,16500,,1,,True,2044-02-11T04:00:00.000Z,True,[],,MCO1246,False,False,xd_drop_off,me2,['self_service_in'],,,1187176333,XTORE COL,,,,,Sen Intimo
MCO2222472930,Carolina Herrera Ch Men Edt 100 ml Para  Hombre,new,MCO3820280,gold_pro,https://www.mercadolibre.com.co/carolina-herrera-ch-men-edt-100ml-para-hombre/p/MCO3820280,buy_it_now,MCO,MCO1271,MCO-PERFUMES,217500,290000.0,1,,True,2044-02-17T04:00:00.000Z,True,[],,MCO1246,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,80026241,MCNEILUS,12.0,18125.0,0.0,COP,Carolina Herrera
MCO1950861074,Crema Hendel's Garden Anti-aging Face Cream Hendel Rechiol Día/noche De 30ml,new,MCO18957834,gold_pro,https://www.mercadolibre.com.co/crema-hendels-garden-anti-aging-face-cream-hendel-rechiol-dianoche-de-30ml/p/MCO18957834,buy_it_now,MCO,MCO180917,MCO-FACIAL_SKIN_CARE_PRODUCTS,81000,,100,,True,2043-10-01T10:00:13.000Z,True,[],,MCO1246,False,True,xd_drop_off,me2,[],,,1463464683,NEVZANEVZA20230829122030,12.0,6750.0,0.0,COP,Hendel
MCO972352308,"Secador Remington Keratin Therapy, Keratina Y Argan Ac8820 Color Cobre 220v",new,MCO19553029,gold_special,https://www.mercadolibre.com.co/secador-remington-keratin-therapy-keratina-y-argan-ac8820-color-cobre-220v/p/MCO19553029,buy_it_now,MCO,MCO4597,MCO-HAIR_DRYERS,224900,299900.0,1,797.0,True,2042-09-22T04:00:00.000Z,True,[],REMINGTON,MCO1246,False,True,cross_docking,me2,['mandatory_free_shipping'],,,1102098290,REMINGTONOFICIAL,36.0,6247.22,0.0,COP,Remington
MCO1388171361,Máscara Keratina Efecto Liso Anti Frizz - mL a $117,new,MCO19828929,gold_pro,https://www.mercadolibre.com.co/mascara-keratina-efecto-liso-anti-frizz-alfaparf-yellow/p/MCO19828929,buy_it_now,MCO,MCO1266,MCO-HAIR_TREATMENTS,52470,58300.0,1,,True,2044-01-28T04:00:00.000Z,True,[],,MCO1246,False,False,cross_docking,me2,['self_service_out'],,,179310635,COMPRAYA ENLINEA,12.0,4372.5,0.0,COP,Alfaparf Milano
MCO2003808088,Mascarilla Amazonica Anticaida - Ml - mL a $372,new,MCO25958239,gold_special,https://www.mercadolibre.com.co/mascarilla-amazonica-anticaida-ml/p/MCO25958239,buy_it_now,MCO,MCO1266,MCO-HAIR_TREATMENTS,92900,,1,,True,2043-10-28T04:00:00.000Z,True,[],,MCO1246,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,335520968,TIENDA MANTRA,36.0,2580.56,0.0,COP,Amabelle
