id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1139513086,Bandera Marruecos 1.50x90cm Exterior Grande,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1139513086-bandera-marruecos-150x90cm-exterior-grande-_JM,buy_it_now,MCO,MCO393901,MCO-FLAGS,49990,,1,True,2043-11-16T20:40:38.373Z,False,[],MCO1367,False,False,xd_drop_off,me2,['self_service_in'],,,391868900,STTRIKER.CO,36.0,1388.61,0.0,COP,
MCO478336187,Moneda Reino Unido 10 New Pence 1968 Reina Isabel Ii,used,gold_special,https://articulo.mercadolibre.com.co/MCO-478336187-moneda-reino-unido-10-new-pence-1968-reina-isabel-ii-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,12000,,1,True,2038-07-15T04:00:00.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,[],,,285275226,IJGU IJGU,,,,,
MCO932591217,8 Billetes De Colombia Sin Circular,new,gold_special,https://articulo.mercadolibre.com.co/MCO-932591217-8-billetes-de-colombia-sin-circular-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,58900,,1,True,2042-12-22T15:30:15.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,[],,,179783507,LEONZ146,36.0,1636.11,0.0,COP,
MCO961101369,Bandera Inglaterra 1.50x90cm Exterior Grande,new,gold_special,https://articulo.mercadolibre.com.co/MCO-961101369-bandera-inglaterra-150x90cm-exterior-grande-_JM,buy_it_now,MCO,MCO393901,MCO-FLAGS,49990,,1,True,2043-11-16T20:39:56.635Z,False,[],MCO1367,False,False,xd_drop_off,me2,['self_service_in'],,,391868900,STTRIKER.CO,36.0,1388.61,0.0,COP,
MCO596597666,50 Centavos 1959 Remarcados Del Escudo 9 Y 12,used,gold_special,https://articulo.mercadolibre.com.co/MCO-596597666-50-centavos-1959-remarcados-del-escudo-9-y-12-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,100000,,1,True,2040-11-26T04:00:00.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,[],,,143141724,WORLD COLLECTIONS100,36.0,2777.78,0.0,COP,
MCO637843365,Genshin Impact Llavero Vision Pyro Liyue Métalico,new,gold_special,https://articulo.mercadolibre.com.co/MCO-637843365-genshin-impact-llavero-vision-pyro-liyue-metalico-_JM,buy_it_now,MCO,MCO172914,MCO-KEYCHAINS,34644,38000.0,1,True,2041-06-15T04:00:00.000Z,False,[],MCO1367,False,False,cross_docking,me2,['self_service_in'],,,342366381,ONIANIMESTORE,36.0,962.33,0.0,COP,Genérica
MCO880786154,Colombia  10 Pesos Oro 2 Enero 1969,new,gold_special,https://articulo.mercadolibre.com.co/MCO-880786154-colombia-10-pesos-oro-2-enero-1969-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,95264,100000.0,1,True,2042-04-06T04:00:00.000Z,False,[],MCO1367,False,True,drop_off,me2,['mandatory_free_shipping'],,,91086457,NIKY6919,36.0,2646.22,0.0,COP,
MCO1338917917,Lote Monedas 5 Centavo Estados Unidos - Años De 1970 A 1980,used,gold_pro,https://articulo.mercadolibre.com.co/MCO-1338917917-lote-monedas-5-centavo-estados-unidos-anos-de-1970-a-1980-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,200000,,1,True,2043-09-11T04:00:00.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,['self_service_out'],,,201535948,ANIV2039926,12.0,16666.67,0.0,COP,
MCO915874841,Bandera Belgica 1.50x90cm Exterior Grande,new,gold_special,https://articulo.mercadolibre.com.co/MCO-915874841-bandera-belgica-150x90cm-exterior-grande-_JM,buy_it_now,MCO,MCO393901,MCO-FLAGS,49990,,1,True,2043-11-16T17:05:57.252Z,False,[],MCO1367,False,False,xd_drop_off,me2,['self_service_in'],,,391868900,STTRIKER.CO,36.0,1388.61,0.0,COP,
MCO1938336138,Colombia Duo Consecutivos 500 Pesos Oro 1981 Sin Circular ,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1938336138-colombia-duo-consecutivos-500-pesos-oro-1981-sin-circular-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,119900,,1,True,2043-09-23T04:00:00.000Z,False,[],MCO1367,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,179783507,LEONZ146,36.0,3330.56,0.0,COP,Genérica
MCO482883645,Lote 5 Monedas España 5 Centimos Euros Años 2000 A 2005,used,gold_pro,https://articulo.mercadolibre.com.co/MCO-482883645-lote-5-monedas-espana-5-centimos-euros-anos-2000-a-2005-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,5000,,1,True,2041-07-11T16:48:24.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,[],,,285275226,IJGU IJGU,,,,,
MCO891078797,"Twdrer - Juego De 24 Trofeos Y Premios, 12 Trofeos De Plás.",new,gold_special,https://articulo.mercadolibre.com.co/MCO-891078797-twdrer-juego-de-24-trofeos-y-premios-12-trofeos-de-plas-_JM,buy_it_now,MCO,MCO413508,MCO-TROPHIES,116990,,1,True,2042-05-02T04:00:00.000Z,False,[],MCO1367,False,True,drop_off,me2,['mandatory_free_shipping'],,,268658500,EMIL SANCHEZ,36.0,3249.72,0.0,COP,Twdrer
MCO508623089,Lord Of The Rings/el Señor De Los Anillos Caja Musical ,new,gold_special,https://articulo.mercadolibre.com.co/MCO-508623089-lord-of-the-ringsel-senor-de-los-anillos-caja-musical-_JM,buy_it_now,MCO,MCO1885,MCO-ANTIQUES,41040,43200.0,1,True,2040-07-11T01:52:57.000Z,False,[],MCO1367,False,False,cross_docking,me2,['self_service_in'],,,342366381,ONIANIMESTORE,36.0,1140.0,0.0,COP,
MCO508660264,Serie Colombia 6 Monedas 1989-90-91-92-93-94 20 Pesos  (# 1),new,gold_special,https://articulo.mercadolibre.com.co/MCO-508660264-serie-colombia-6-monedas-1989-90-91-92-93-94-20-pesos-1-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,18716,19702.0,1,True,2042-11-16T18:16:10.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,[],,,95325698,RONCESVALLES2010,,,,,
