id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO453215948,Colombia 20 Pesos Oro Abril 1979,new,gold_special,https://articulo.mercadolibre.com.co/MCO-453215948-colombia-20-pesos-oro-abril-1979-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,8000,,1,,True,2037-07-24T15:57:18.000Z,False,[],,MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,,,,,
MCO866069201,Colombia Moneda 10 Centavos 1966,used,gold_special,https://articulo.mercadolibre.com.co/MCO-866069201-colombia-moneda-10-centavos-1966-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,4000,,1,,True,2042-02-26T04:00:00.000Z,False,[],,MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,,,,,
MCO898611153,Teléfono Fijo Giratorio Retro Dial Rotatorio Campana De,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-898611153-telefono-fijo-giratorio-retro-dial-rotatorio-campana-de-_JM,buy_it_now,MCO,MCO442119,MCO-ANTIQUE_TELEPHONES,394452,419658.0,1,,True,2042-05-19T04:00:00.000Z,False,[],,MCO1367,False,True,cross_docking,me2,['mandatory_free_shipping'],,,776422607,PERFECLANCO,12.0,32871.0,0.0,COP,Other
MCO877812511,2 Pesos 1914 Papel Moneda,used,gold_special,https://articulo.mercadolibre.com.co/MCO-877812511-2-pesos-1914-papel-moneda-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,165000,,1,,True,2042-03-30T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,143141724,WORLD COLLECTIONS100,36.0,4583.33,0.0,COP,
MCO512717756,Colombia Reposición 1000 Pesos Oro 1 De Enero 1990,new,gold_special,https://articulo.mercadolibre.com.co/MCO-512717756-colombia-reposicion-1000-pesos-oro-1-de-enero-1990-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,142000,,1,,True,2039-05-05T04:00:00.000Z,False,[],,MCO1367,False,True,drop_off,me2,"['fs_threshold_mco_change_apr2021', 'fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",,,91086457,NIKY6919,36.0,3944.44,0.0,COP,
MCO1241915248,Placa Poster Decorativa Tapa Metálica Cuadro Cerveza Retro,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1241915248-placa-poster-decorativa-tapa-metalica-cuadro-cerveza-retro-_JM,buy_it_now,MCO,MCO168946,MCO-POSTERS,62000,,1,,True,2043-02-12T04:00:00.000Z,False,[],,MCO1367,False,False,cross_docking,me2,['self_service_in'],,,480483865,VEES6706847,12.0,5166.67,0.0,COP,Placas Decorativas cerveza
MCO880850941,Estados Unidos Moneda De Cuarto De Dolar Conmemorativa 1976.,used,gold_pro,https://articulo.mercadolibre.com.co/MCO-880850941-estados-unidos-moneda-de-cuarto-de-dolar-conmemorativa-1976-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,12000,,1,,True,2042-04-06T04:00:00.000Z,False,[],,MCO1367,False,False,drop_off,me2,[],,,73706537,ALFREDOPEREZ609,,,,,
MCO924553660,Colombia  10 Pesos Oro 1 Enero 1958,used,gold_special,https://articulo.mercadolibre.com.co/MCO-924553660-colombia-10-pesos-oro-1-enero-1958-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,100000,,1,,True,2042-07-08T04:00:00.000Z,False,[],,MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,36.0,2777.78,0.0,COP,
MCO1332876351,"Set De Banderas P/ Escritorio Bclin De Países, Colombia",new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1332876351-set-de-banderas-p-escritorio-bclin-de-paises-colombia-_JM,buy_it_now,MCO,MCO393901,MCO-FLAGS,104977,,1,,True,2043-08-25T04:00:00.000Z,False,[],,MCO1367,False,True,cross_docking,me2,['mandatory_free_shipping'],,,1140609752,USCLUBGLOBAL-COR,12.0,8748.08,0.0,COP,BCLin
MCO885223630,Moneda Colombia 10 Centavos 1963 Calarca Usado,used,gold_special,https://articulo.mercadolibre.com.co/MCO-885223630-moneda-colombia-10-centavos-1963-calarca-usado-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,6000,,1,,True,2042-04-17T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,285275226,IJGU IJGU,,,,,
