id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,official_store_name,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1628313202,Marcadores Base De Agua 36 Colores Doble Punta,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1628313202-marcadores-base-de-agua-36-colores-doble-punta-_JM,buy_it_now,MCO,MCO172631,MCO-MARKERS_AND_HIGHLIGHTERS,77168,84800.0,1,2069.0,Kores,True,2043-05-25T04:00:00.000Z,False,[],MCO1368,False,False,xd_drop_off,me2,[],,,542870035,KORES COLOMBIA,36.0,2143.56,0.0,COP,Staedtler
MCO1309898829,Lápiz Gipao Black Hb No2 X12,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1309898829-lapiz-gipao-black-hb-no2-x12-_JM,buy_it_now,MCO,MCO172626,MCO-PENCILS,8000,,1,,,True,2043-06-24T04:00:00.000Z,False,[],MCO1368,False,False,cross_docking,me2,[],,,655787052,TIENDA-AD,,,,,Gipao
MCO1370976217,Tablero Corcho Artecma 80 X 120 Cms,new,MCO28707364,gold_special,https://www.mercadolibre.com.co/tablero-corcho-artecma-80-x-120-cms/p/MCO28707364,buy_it_now,MCO,MCO168370,MCO-CHALKBOARDS_AND_WHITEBOARDS,218365,256900.0,1,440.0,Garabatos,True,2043-12-07T04:00:00.000Z,True,[],MCO1368,False,True,cross_docking,me2,['mandatory_free_shipping'],,,292583150,GARABATOS PAPELERIA,36.0,6065.69,0.0,COP,Artecma
MCO1154047129,Repuesto Para Marcador Borrable Offi Esco X24 Und,new,MCO26335373,gold_pro,https://articulo.mercadolibre.com.co/MCO-1154047129-repuesto-para-marcador-borrable-offi-esco-x24-und-_JM,buy_it_now,MCO,MCO172631,MCO-MARKERS_AND_HIGHLIGHTERS,33535,35300.0,1,,,True,2042-12-16T04:00:00.000Z,False,[],MCO1368,False,False,xd_drop_off,me2,['self_service_out'],,,658379763,ANALEPAPELERIA13,12.0,2794.58,0.0,COP,Offiesco
MCO621338762,Juego Didáctico 714pcs Magpad Pizarra Magnética Tablero 1024,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-621338762-juego-didactico-714pcs-magpad-pizarra-magnetica-tablero-1024-_JM,buy_it_now,MCO,MCO176744,MCO-CHALKBOARDS_AND_WHITEBOARDS,62990,,1,,,True,2041-05-01T04:00:00.000Z,False,[],MCO1368,False,False,cross_docking,me2,['self_service_in'],,,138353657,MACROOUTLET.CO,36.0,1749.72,0.0,COP,magnetic education toys
MCO1725025766,"Sello Personalizado Para Ropa Con Nombre De Niño, Impermeabl",new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1725025766-sello-personalizado-para-ropa-con-nombre-de-nino-impermeabl-_JM,buy_it_now,MCO,MCO441857,MCO-RUBBER_STAMPS,60038,63200.0,250,,,True,2043-07-15T04:00:00.000Z,False,[],MCO1368,False,True,drop_off,me2,['mandatory_free_shipping'],,,1326698483,CNMYLONGINGCHARMJEWELRY-COR,12.0,5003.17,0.0,COP,Genérica
MCO571772683,Borrador Moldeable Faber Castell,new,MCO24288402,gold_special,https://articulo.mercadolibre.com.co/MCO-571772683-borrador-moldeable-faber-castell-_JM,buy_it_now,MCO,MCO441199,MCO-ERASERS,8300,,50,,,True,2040-07-14T04:00:00.000Z,False,[],MCO1368,False,False,cross_docking,me2,['self_service_out'],,,3140696,MULTIVENTAS NATA.,,,,,Faber-Castell
MCO1349921324,Kit De Marcadores Tablero Borrables Offi-esco X12 Oe-510-12,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1349921324-kit-de-marcadores-tablero-borrables-offi-esco-x12-oe-510-12-_JM,buy_it_now,MCO,MCO172631,MCO-MARKERS_AND_HIGHLIGHTERS,32900,,1,,,True,2043-03-18T04:00:00.000Z,False,[],MCO1368,False,False,xd_drop_off,me2,['self_service_in'],,,109361608,OUTLETS-ONLINE,12.0,2741.67,0.0,COP,Offi-Esco
MCO539332669,Colores Prismacolor Junior Redondos Caja X48 Punta 4mm,new,MCO24349481,gold_special,https://articulo.mercadolibre.com.co/MCO-539332669-colores-prismacolor-junior-redondos-caja-x48-punta-4mm-_JM,buy_it_now,MCO,MCO172626,MCO-PENCILS,83990,,1,935.0,Prismacolor,True,2040-01-12T19:37:12.000Z,False,[],MCO1368,False,False,fulfillment,me2,"['fulfillment', 'MCO-chg-threshold-Jan-23', 'self_service_out']",,,247730346,AKTIVABRANDS COLOMBIA,36.0,2333.06,0.0,COP,Prismacolor
MCO1207179447,Tablero Doble Cara Rompetrafico En Pino Pasacalle,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1207179447-tablero-doble-cara-rompetrafico-en-pino-pasacalle-_JM,buy_it_now,MCO,MCO168370,MCO-CHALKBOARDS_AND_WHITEBOARDS,109000,,50,,,True,2043-01-23T04:00:00.000Z,False,[],MCO1368,False,True,drop_off,me2,['mandatory_free_shipping'],,,366004319,TIENDADEYUDI,36.0,3027.78,0.0,COP,Pino
