id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,accepts_mercadopago,stop_time,location,seller_contact,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname
MCO1390904567,Apartamento En Contador - 71mts + 24mts Terraza,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-1390904567-apartamento-en-contador-71mts-24mts-terraza-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,500000000,1,False,2024-08-10T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkVMMTQ4OTg', 'name': 'El Contador'}, 'city': {'id': 'TUNPQ1VTQTY3MTQ1', 'name': 'Usaquén'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.7203926, 'longitude': -74.0419005}","{'contact': 'HUS INMOBILIARIA', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,1461457366,HUSINMOBILIARIA
MCO1361570271,Oportunidad Venta De Hermoso Apartamento En Conjunto La Estancia 2 Barrio La Estancia Mosquera Bogotá Colombia ,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-1361570271-oportunidad-venta-de-hermoso-apartamento-en-conjunto-la-estancia-2-barrio-la-estancia-mosquera-bogota-colombia-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,173604000,1,False,2024-05-20T20:33:56.425Z,"{'address_line': 'Calle 17 #13-48, Mosquera, Cundinamarca, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ01PUzRiMGY3', 'name': 'Mosquera'}, 'state': {'id': 'TUNPUENVTmE3NmQ4', 'name': 'Cundinamarca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.7011635, 'longitude': -74.2148256}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,1541705300,CHRISROJASINMUEBLES
MCO1387722245,Alquiler #casa Campestre  Amoblada Vrda Florencia Y Venta,used,gold_premium,https://casa.mercadolibre.com.co/MCO-1387722245-alquiler-casa-campestre-amoblada-vrda-florencia-y-venta-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,650000000,1,False,2024-07-30T22:32:24.907Z,"{'address_line': 'Florencia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0ZMTzhiZDJm', 'name': 'Florencia'}, 'state': {'id': 'TUNPUENBVWExM2Q1NQ', 'name': 'Cauca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 1.6828778, 'longitude': -77.0726402}","{'contact': 'GestiónInmobiliaria.co', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,325524427,GESTIONINMOBILIARIAPOPAYAN
MCO2191766074,Finca En San Jeronimo Sopetran  De $1300.000.000 A $1190.000.000 010224-01,used,gold_premium,https://inmueble.mercadolibre.com.co/MCO-2191766074-finca-en-san-jeronimo-sopetran-de-1300000000-a-1190000000-010224-01-_JM,classified,MCO,MCO6403,MCO-FARM_HOUSES_FOR_SALE,1190000000,1,False,2025-01-31T04:00:00.000Z,"{'address_line': 'San Jerónimo, Antioquia, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ1NBTjEyMGQ3', 'name': 'San Jerónimo'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.4428257, 'longitude': -75.7277669}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,1532622470,INMOBILIARIOGAITANRIVERASAS
MCO1946914776,"Oportunidad Casa Con Jacuzzi, En Conjunto Exelente Zona ",used,gold_premium,https://casa.mercadolibre.com.co/MCO-1946914776-oportunidad-casa-con-jacuzzi-en-conjunto-exelente-zona-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,265000000,1,False,2024-03-31T04:00:00.000Z,"{'address_line': 'Calle 8 #SN-SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkVMUDU0ODcxNg', 'name': 'El Peñon'}, 'city': {'id': 'TUNPQ0dJUjRkOWMw', 'name': 'Girardot'}, 'state': {'id': 'TUNPUENVTmE3NmQ4', 'name': 'Cundinamarca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.288229, 'longitude': -74.8058384}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,367101584,ASOCIADOS BELTRANFINCARAÍZ
MCO1902414492,"Apartamento En Venta En Valle De Lili, Cali",used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-1902414492-apartamento-en-venta-en-valle-de-lili-cali-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,216000000,1,False,2024-03-09T04:00:00.000Z,"{'address_line': 'Calle 45 #86-75, Cali, Valle del Cauca, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlZBTDQzOTkwNg', 'name': 'Valle Del Lili'}, 'city': {'id': 'TUNPQ0NBTDYyZDA0', 'name': 'Cali'}, 'state': {'id': 'TUNPUFZBTGExNmNjNg', 'name': 'Valle Del Cauca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 3.3780771, 'longitude': -76.518587}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,475958733,MARLEN GGONZALEZ
MCO1385230051,Casa En El Retiro - Parcelacion Fizebad,used,gold_premium,https://casa.mercadolibre.com.co/MCO-1385230051-casa-en-el-retiro-parcelacion-fizebad-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,2650000000,1,False,2024-07-23T04:00:00.000Z,"{'address_line': 'Fizebad', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ1JFVDlmMzgz', 'name': 'Retiro'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.0958156, 'longitude': -75.5128269}","{'contact': 'Piedad Peláez', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,211464174,INVERSIONESCOPROP
MCO2105444380,Casa Campestre Moderna Nueva De Un Nivel La Ceja,used,gold_premium,https://casa.mercadolibre.com.co/MCO-2105444380-casa-campestre-moderna-nueva-de-un-nivel-la-ceja-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,1800000000,1,False,2024-06-16T04:00:00.000Z,"{'address_line': 'El Capiro', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0xBWjI0NTNl', 'name': 'La Ceja'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.0484989, 'longitude': -75.4090022}","{'contact': 'Octava Inmobiliaria', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,166867364,OCTAVA INMOBILIARIA
MCO2204194964,Apartamento En Arriendo Envigado Sector Alcalá,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-2204194964-apartamento-en-arriendo-envigado-sector-alcala-_JM,classified,MCO,MCO1473,MCO-APARTMENTS_FOR_RENT,2500000,1,False,2024-05-12T13:57:17.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TVhYQWxjYWzDoVRVTlBRMFZPVmpVNVlqWXg', 'name': 'Alcalá'}, 'city': {'id': 'TUNPQ0VOVjU5YjYx', 'name': 'Envigado'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.1729396, 'longitude': -75.5918673}","{'contact': 'Grupo Respaldo Inmobiliario', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,1194088518,GRUPORESPALDOINMOBILIARIOSA
MCO1388486547,Lote En Arriendo En Rionegro Sector Barro Blanco,used,gold_premium,https://lote-casalote.mercadolibre.com.co/MCO-1388486547-lote-en-arriendo-en-rionegro-sector-barro-blanco-_JM,classified,MCO,MCO50177,MCO-LANDS_FOR_RENT,25000000,1,False,2025-02-05T14:09:32.000Z,"{'address_line': 'Barro Blanco', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ1JJTzNmYmVk', 'name': 'Rionegro'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.1520437, 'longitude': -75.3980406}","{'contact': 'Grupo Respaldo Inmobiliario', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1459,False,False,,not_specified,[],,,1194088518,GRUPORESPALDOINMOBILIARIOSA
