id,title,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,official_store_id,accepts_mercadopago,stop_time,location,seller_contact,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname
MCO1339589647,Multiservicios Cb Especialistas En Inyección Y Electrónica M,gold_premium,https://servicio.mercadolibre.com.co/MCO-1339589647-multiservicios-cb-especialistas-en-inyeccion-y-electronica-m-_JM,classified,MCO,MCO155464,MCO-OTHER_SERVICES,,1,,False,2024-03-16T04:00:11.054Z,"{'address_line': 'Calle 66 #26-35, Bogotá, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkNPTDczNTI3', 'name': 'Colombia'}, 'city': {'id': 'TUNPQ0JBUjEyNTcx', 'name': 'Barrios Unidos'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6582061, 'longitude': -74.0721157}","{'contact': '3143570749', 'other_info': '3143570749', 'webpage': 'https://www.jmautomotriz.com.co/', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1540,False,False,not_specified,not_specified,[],,,226532416,MULTISERVICIOS CB.
MCO1963756746,Renders 3d - Animaciones 3d - Diseño 3d Para Arquitectura,gold_premium,https://profesional.mercadolibre.com.co/MCO-1963756746-renders-3d-animaciones-3d-diseno-3d-para-arquitectura-_JM,classified,MCO,MCO155406,MCO-OTHER_SERVICES,,1,,False,2024-04-10T04:00:22.000Z,"{'address_line': '175 15', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBNzE0ODc', 'name': 'La Alameda'}, 'city': {'id': 'TUNPQ1VTQTY3MTQ1', 'name': 'Usaquén'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6341695, 'longitude': -74.0624565}","{'contact': 'Arq. Esteban Correa', 'other_info': '', 'webpage': 'http://rendersyanimaciones3d.com/', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1540,False,False,not_specified,not_specified,[],,,125489941,ESTEBANCORREAG
MCO1370693687,"Licencias De Construccion, Diseño Y Planos Arquitectonicos.",gold,https://profesional.mercadolibre.com.co/MCO-1370693687-licencias-de-construccion-diseno-y-planos-arquitectonicos-_JM,classified,MCO,MCO1544,MCO-OTHER_SERVICES,3800000.0,1,,False,2024-03-10T04:02:36.821Z,"{'address_line': 'calle 143a 113c 73', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxPTTMwMzk4', 'name': 'Lombardia'}, 'city': {'id': 'TUNPQ1NVQjUzNzQ4', 'name': 'Suba'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.7493485, 'longitude': -74.1043501}","{'contact': 'leonardo sanchez', 'other_info': '', 'webpage': 'http://www.facebook.com/LICENCIAS.RENDERS.PLANOS/', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1540,False,False,not_specified,not_specified,[],,,23868384,LEOBIKEXTREME
MCO1854577408,"Alquiler Miniteca, Sonido Luces Dj Video Beam 3183696355",gold_premium,https://fiesta-evento.mercadolibre.com.co/MCO-1854577408-alquiler-miniteca-sonido-luces-dj-video-beam-3183696355-_JM,classified,MCO,MCO155498,MCO-OTHER_SERVICES,295000.0,1,,False,2024-02-29T04:20:09.820Z,"{'address_line': 'cra 25 #48a-14', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkNJVTc2MTU3', 'name': 'Ciudad Tunal'}, 'city': {'id': 'TUNPQ1RVTjE0ODY0', 'name': 'Tunjuelito'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.5791629, 'longitude': -74.1309695}","{'contact': 'Eduardo pico', 'other_info': '', 'webpage': 'www.lafarraminiteca.com', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1540,False,False,not_specified,not_specified,[],,,212964770,PEMA2221642
MCO1951723856,"Alquiler Humo, Burbujas, Lanza Confeti, Espuma, Pólvora Fría",gold_premium,https://fiesta-evento.mercadolibre.com.co/MCO-1951723856-alquiler-humo-burbujas-lanza-confeti-espuma-polvora-fria-_JM,classified,MCO,MCO118406,MCO-OTHER_SERVICES,49900.0,1,,False,2024-04-04T04:02:33.304Z,"{'address_line': 'cra 23A transversal 25 - 19 barrio 20 de julio', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQjIwRDk3MjE4Mg', 'name': '20 de Julio'}, 'city': {'id': 'TUNPQ0NBTDYyZDA0', 'name': 'Cali'}, 'state': {'id': 'TUNPUFZBTGExNmNjNg', 'name': 'Valle Del Cauca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': -34.674617, 'longitude': -58.4670656}","{'contact': 'Fabián Narváez', 'other_info': '', 'webpage': 'www.alquilerdelucesyhumo.jimdo.com', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1540,False,False,not_specified,not_specified,[],,,31127314,CALVIN42
MCO1345689763,Alquiler Fuente Chocolate Algodón Crispetas Cholados Hotdogs,gold_premium,https://fiesta-evento.mercadolibre.com.co/MCO-1345689763-alquiler-fuente-chocolate-algodon-crispetas-cholados-hotdogs-_JM,classified,MCO,MCO92648,MCO-PASTRY_MAKING_SERVICES,29900.0,1,,False,2024-04-04T04:02:32.151Z,"{'address_line': 'Cra 23A transversal 25 - 19 Barrio 20 de julio', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQjIwRDk3MjE4Mg', 'name': '20 de Julio'}, 'city': {'id': 'TUNPQ0NBTDYyZDA0', 'name': 'Cali'}, 'state': {'id': 'TUNPUFZBTGExNmNjNg', 'name': 'Valle Del Cauca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': -34.674617, 'longitude': -58.4670656}","{'contact': 'Fabián Narváez', 'other_info': '', 'webpage': 'www.alquilerdelucesyhumo.jimdo.com', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1540,False,False,not_specified,not_specified,[],,,31127314,CALVIN42
MCO1951660188,Alquiler Carpa Tarima Silla Rimax Mesa Tablón Redonda,gold_premium,https://fiesta-evento.mercadolibre.com.co/MCO-1951660188-alquiler-carpa-tarima-silla-rimax-mesa-tablon-redonda-_JM,classified,MCO,MCO118382,MCO-CHAIRS_TABLEWARE_AND_TABLECLOTH_RENTAL_SERVICES,49900.0,1,,False,2024-04-04T04:01:48.620Z,"{'address_line': 'Cra 23A Transversal 25 - 19 barrio 20 de julio', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQjIwRDk3MjE4Mg', 'name': '20 de Julio'}, 'city': {'id': 'TUNPQ0NBTDYyZDA0', 'name': 'Cali'}, 'state': {'id': 'TUNPUFZBTGExNmNjNg', 'name': 'Valle Del Cauca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': -34.674617, 'longitude': -58.4670656}","{'contact': 'Fabián Narváez', 'other_info': '', 'webpage': 'www.alquilerdelucesyhumo.jimdo.com', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1540,False,False,not_specified,not_specified,[],,,31127314,CALVIN42
MCO1951722888,Alquiler Luces Fiesta Neón Humo Cielo Estrellado Sonido Dj,gold_premium,https://fiesta-evento.mercadolibre.com.co/MCO-1951722888-alquiler-luces-fiesta-neon-humo-cielo-estrellado-sonido-dj-_JM,classified,MCO,MCO92640,MCO-ILUMINATION_DJ_AND_MUSIC_EQUIPMENT_RENTAL_SERVICES,49900.0,1,,False,2024-04-04T04:08:27.223Z,"{'address_line': 'cra 23A transversal 25 - 19 barrio 20 de julio', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQjIwRDk3MjE4Mg', 'name': '20 de Julio'}, 'city': {'id': 'TUNPQ0NBTDYyZDA0', 'name': 'Cali'}, 'state': {'id': 'TUNPUFZBTGExNmNjNg', 'name': 'Valle Del Cauca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': -34.674617, 'longitude': -58.4670656}","{'contact': 'Fabián Narváez', 'other_info': '', 'webpage': 'www.alquilerdelucesyhumo.jimdo.com', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1540,False,False,not_specified,not_specified,[],,,31127314,CALVIN42
MCO1951762794,Alquiler Video Beam Televisor Proyector Telón Portátil Panta,gold_premium,https://fiesta-evento.mercadolibre.com.co/MCO-1951762794-alquiler-video-beam-televisor-proyector-telon-portatil-panta-_JM,classified,MCO,MCO118385,MCO-PROJECTORS_RENTAL_SERVICES,59900.0,1,,False,2024-04-04T04:01:51.265Z,"{'address_line': 'cra 23A Transversal 25  - 19 barrio 20 de julio', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQjIwRDk3MjE4Mg', 'name': '20 de Julio'}, 'city': {'id': 'TUNPQ0NBTDYyZDA0', 'name': 'Cali'}, 'state': {'id': 'TUNPUFZBTGExNmNjNg', 'name': 'Valle Del Cauca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': -34.674617, 'longitude': -58.4670656}","{'contact': 'Fabian Narvaez', 'other_info': '', 'webpage': 'www.alquilerdelucesyhumo.jimdo.com', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1540,False,False,not_specified,not_specified,[],,,31127314,CALVIN42
MCO1352559983,"Finca Turistica Melivale En Villavicencio,cabañas",gold_premium,https://servicio.mercadolibre.com.co/MCO-1352559983-finca-turistica-melivale-en-villavicenciocabanas-_JM,classified,MCO,MCO6311,MCO-TOURISM_SERVICES,200000.0,1,,False,2024-04-23T04:00:47.482Z,"{'address_line': 'vereda la vigia 10', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ1ZJTDNiNzQ2', 'name': 'Villavicencio'}, 'state': {'id': 'TUNPUE1FVGExNzFjNQ', 'name': 'Meta'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.0416927, 'longitude': -73.5216186}","{'contact': 'www.fincaturisticamelivale.com.co', 'other_info': '', 'webpage': 'http://fincaturisticamelivale.com.co', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1540,False,False,not_specified,not_specified,[],,,146502671,CABAASFINCAMELIVALE
