id,title,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,accepts_mercadopago,stop_time,location,seller_contact,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,brand_value_name
MCO2217115404,Venta Pastor Belga!!,free,https://servicio.mercadolibre.com.co/MCO-2217115404-venta-pastor-belga-_JM,classified,MCO,MCO9016,MCO-OTHER_SERVICES,600000,1,False,2024-04-20T04:00:00.000Z,"{'address_line': 'Calle40bsur#87-30 SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlBBVDE3NjIy', 'name': 'Patio Bonito I'}, 'city': {'id': 'TUNPQ0tFTjQyODYy', 'name': 'Kennedy'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6381538, 'longitude': -74.1628974}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,264835011,ARIELARIZAARDILA,
MCO1393609843,Repetidor Wifi: Amplifica Tu Señal Wifi ,free,https://servicio.mercadolibre.com.co/MCO-1393609843-repetidor-wifi-amplifica-tu-senal-wifi-_JM,classified,MCO,MCO9016,MCO-OTHER_SERVICES,100000,1,False,2024-04-19T04:00:00.000Z,"{'address_line': 'Carrera 26j #110-4, MANUELA BELTRAN, Manuela Beltran, Cali, Valle del Cauca, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQk1BTjYzOTA4MQ', 'name': 'Manuela Beltrán'}, 'city': {'id': 'TUNPQ0NBTDYyZDA0', 'name': 'Cali'}, 'state': {'id': 'TUNPUFZBTGExNmNjNg', 'name': 'Valle Del Cauca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 3.42135, 'longitude': -76.4724604}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,335590091,TEODORODUQUE,
MCO2215225948,Fotocopiadora Ricoh Mp 2852,free,https://servicio.mercadolibre.com.co/MCO-2215225948-fotocopiadora-ricoh-mp-2852-_JM,classified,MCO,MCO41707,MCO-OTHER_SERVICES,1300000,1,False,2024-04-19T04:00:00.000Z,"{'address_line': 'Calle 15 #95-164', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlBSTzcyNzM5NA', 'name': 'Provenza'}, 'city': {'id': 'TUNPQ0JVQzkzMTE4', 'name': 'Bucaramanga'}, 'state': {'id': 'TUNPUFNBTnJlMjMw', 'name': 'Santander'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 7.0839261, 'longitude': -73.1150443}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,176083250,MAER2187049,
MCO1393164917,Perritos Pincher ,free,https://servicio.mercadolibre.com.co/MCO-1393164917-perritos-pincher-_JM,classified,MCO,MCO155441,MCO-PET_SERVICES,600000,1,False,2024-04-18T04:00:00.000Z,"{'address_line': 'Carrera 14#63-01  3022543673', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxPUzY3MjM0MA', 'name': 'Los Canelos'}, 'city': {'id': 'TUNPQ0JVQzkzMTE4', 'name': 'Bucaramanga'}, 'state': {'id': 'TUNPUFNBTnJlMjMw', 'name': 'Santander'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 7.0995232, 'longitude': -73.1221672}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,498300241,ANDRADEKIMBERLIN,
MCO2214100122,Pollitos Criollos,free,https://servicio.mercadolibre.com.co/MCO-2214100122-pollitos-criollos-_JM,classified,MCO,MCO9016,MCO-OTHER_SERVICES,10000,1,False,2024-04-18T04:00:00.000Z,"{'address_line': '2X2G+73, Saladoblanco, Huila, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ1NBTDhmY2U1', 'name': 'Saladoblanco'}, 'state': {'id': 'TUNPUEhVSWExNDVkMQ', 'name': 'Huila'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 1.993097, 'longitude': -76.043614}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,134468809,JESUS97ROJAS,
MCO2213895362,Se Vende Perro Malamute ,free,https://servicio.mercadolibre.com.co/MCO-2213895362-se-vende-perro-malamute-_JM,classified,MCO,MCO9016,MCO-OTHER_SERVICES,2000000,1,False,2024-04-18T04:00:00.000Z,"{'address_line': 'Mas x menos SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkFMRjgyNDU5OA', 'name': 'Alfonso López I Etapa'}, 'city': {'id': 'TUNPQ0JVQzkzMTE4', 'name': 'Bucaramanga'}, 'state': {'id': 'TUNPUFNBTnJlMjMw', 'name': 'Santander'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 7.1366574, 'longitude': -73.1165554}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,510585892,SWI844984,
MCO1392888671,Trucha Mariposa,free,https://servicio.mercadolibre.com.co/MCO-1392888671-trucha-mariposa-_JM,classified,MCO,MCO9016,MCO-OTHER_SERVICES,21500,1,False,2024-04-17T04:00:00.000Z,"{'address_line': 'Carrera 22 SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TVhYTGEgVmFyaWFudGVUVU5QUTFSVlRHRm1Oe', 'name': 'La Variante'}, 'city': {'id': 'TUNPQ1RVTGFmNzg4', 'name': 'Tuluá'}, 'state': {'id': 'TUNPUFZBTGExNmNjNg', 'name': 'Valle Del Cauca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 3.8008893, 'longitude': -76.6412712}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,198767361,LORENABLANDONOCAMPO,
MCO2212835338,Bicicleta Gw Hyena Rin 29 Grupo Shimano Altus 3x9 Hidráulico,free,https://servicio.mercadolibre.com.co/MCO-2212835338-bicicleta-gw-hyena-rin-29-grupo-shimano-altus-3x9-hidraulico-_JM,classified,MCO,MCO155430,MCO-TRANSPORT_SERVICES,1300000,1,False,2024-04-17T04:00:00.000Z,"{'address_line': 'Calle  28c # 18Abis - 28', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0JVRzlkMWYy', 'name': 'Buga'}, 'state': {'id': 'TUNPUFZBTGExNmNjNg', 'name': 'Valle Del Cauca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 3.9184704, 'longitude': -76.2979513}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,609234212,PESA8272963,
MCO1392549059,Se Vende Husky Siberiano ,free,https://servicio.mercadolibre.com.co/MCO-1392549059-se-vende-husky-siberiano-_JM,classified,MCO,MCO155441,MCO-PET_SERVICES,1300000,1,False,2024-04-16T04:00:00.000Z,"{'address_line': '5 # 12-07  SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0lCQTI0NzNh', 'name': 'Ibagué'}, 'state': {'id': 'TUNPUFRPTGExNGZkNA', 'name': 'Tolima'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.4455332, 'longitude': -75.1910701}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,452830916,HERA4105095,
MCO2211755296,Silo Maiz ,free,https://servicio.mercadolibre.com.co/MCO-2211755296-silo-maiz-_JM,classified,MCO,MCO9016,MCO-OTHER_SERVICES,16000,1,False,2024-04-16T04:00:00.000Z,"{'address_line': 'Santa maria huila SN', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ1NBTmU1ZjU3', 'name': 'Santa María'}, 'state': {'id': 'TUNPUEhVSWExNDVkMQ', 'name': 'Huila'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 2.939062, 'longitude': -75.586386}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1540,False,False,,not_specified,[],,,119567199,RACHELGARZON,
