id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO824867664,Covertidor Sata A Usb Para Discos De Escritorio,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-824867664-covertidor-sata-a-usb-para-discos-de-escritorio-_JM,buy_it_now,MCO,MCO431810,MCO-DATA_CABLES_AND_ADAPTERS,31500,,1,,True,2041-10-21T04:00:00.000Z,False,[],MCO1648,False,False,fulfillment,me2,"['fulfillment', 'self_service_out']",,,23542692,VENTURA.TECH,12.0,2625.0,0.0,COP,VENTURA TECH
MCO956792365,Teclado Bluetooth Logitech K380 Qwerty Inglés Uk Color Grafito,new,MCO11555389,gold_special,https://www.mercadolibre.com.co/teclado-bluetooth-logitech-k380-qwerty-ingles-uk-color-grafito/p/MCO11555389,buy_it_now,MCO,MCO418448,MCO-PC_KEYBOARDS,145000,,1,,True,2042-09-02T04:00:00.000Z,True,[],MCO1648,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,1074955008,RANYAVE TULUA,36.0,4027.78,0.0,COP,Logitech
MCO852414575,Filamento Creality Petg 1kg Importado ¡!disponible¡!,new,MCO25370461,gold_special,https://articulo.mercadolibre.com.co/MCO-852414575-filamento-creality-petg-1kg-importado-disponible-_JM,buy_it_now,MCO,MCO420644,MCO-3D_PRINTER_FILAMENTS,75000,,1,,True,2042-01-18T04:00:00.000Z,False,[],MCO1648,False,False,fulfillment,me2,"['fulfillment', 'MCO-chg-threshold-Jan-23']",,,200773294,DIRIGIBLESDELVALLE,36.0,2083.33,0.0,COP,Creality
MCO2195309494,Memoria Usb 3.2 Kingston Datatraveler Exodia M Onyx 128 Gb,new,MCO25818644,gold_special,https://www.mercadolibre.com.co/memoria-usb-32-kingston-datatraveler-exodia-m-onyx-128-gb/p/MCO25818644,buy_it_now,MCO,MCO5027,MCO-PENDRIVES,37900,,1,,True,2044-01-28T04:00:00.000Z,True,[],MCO1648,False,False,xd_drop_off,me2,['self_service_in'],,,207443293,EINSTEINTECNOLOGIA,36.0,1052.78,0.0,COP,Kingston
MCO839459079,Almohadillas Para Audífonos Logitech G Series G733,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-839459079-almohadillas-para-audifonos-logitech-g-series-g733-_JM,buy_it_now,MCO,MCO31377,MCO-HEADPHONES,57900,,1,,True,2041-12-01T04:00:00.000Z,False,[],MCO1648,False,False,cross_docking,me2,"['MCO-chg-threshold-Jan-23', 'self_service_in']",,,206498420,FULL.AUDIO,12.0,4825.0,0.0,COP,Logitech
MCO546887497,Teclado Portatil Hp 14-ac/14-af/240 G4/245 G4/245 G5/246,new,MCO23132977,gold_special,https://articulo.mercadolibre.com.co/MCO-546887497-teclado-portatil-hp-14-ac14-af240-g4245-g4245-g5246-_JM,buy_it_now,MCO,MCO4222,MCO-LAPTOP_KEYBOARDS,54900,,1,,True,2043-12-14T15:56:11.764Z,False,[],MCO1648,False,False,fulfillment,me2,['fulfillment'],,,145150422,TECNOLOSYS COLOMBIA,36.0,1525.0,0.0,COP,Genérica
MCO1171899948,Mouse Gamer Weibo S300 Dpi/1600/2400/3200 Color Negro,new,MCO19777048,gold_pro,https://www.mercadolibre.com.co/mouse-gamer-weibo-s300-dpi160024003200-color-negro/p/MCO19777048,buy_it_now,MCO,MCO1714,MCO-COMPUTER_MICE,32900,,1,,True,2042-12-28T04:00:00.000Z,True,[],MCO1648,False,False,cross_docking,me2,['self_service_in'],,,256669196,TU SHOPAA,12.0,2741.67,0.0,COP,Weibo
MCO1269049429,Bateria Dell Inspiron 14-3467 M5y1k 14.8v 14.8v Compatible,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1269049429-bateria-dell-inspiron-14-3467-m5y1k-148v-148v-compatible-_JM,buy_it_now,MCO,MCO7222,MCO-LAPTOP_BATTERIES,110000,,1,,True,2044-02-07T20:31:24.367Z,False,[],MCO1648,False,True,not_specified,not_specified,['is_flammable'],,,145150422,TECNOLOSYS COLOMBIA,36.0,3055.56,0.0,COP,Genérica
MCO821719364,Mouse Gamer De Juego Vsg  Aquila Air Negro Brillante,new,MCO17007139,gold_special,https://www.mercadolibre.com.co/mouse-gamer-de-juego-vsg-aquila-air-negro-brillante/p/MCO17007139,buy_it_now,MCO,MCO1714,MCO-COMPUTER_MICE,164900,,1,,True,2041-10-11T04:00:00.000Z,True,[],MCO1648,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,212604010,PROVEELONLINE,36.0,4580.56,0.0,COP,VSG
MCO1977841340,Mouse Gamer De Juego Inalámbrico Recargable Logitech G  Pro Series Pro X Superlight Blanco,new,MCO17406841,gold_special,https://www.mercadolibre.com.co/mouse-gamer-de-juego-inalambrico-recargable-logitech-g-pro-series-pro-x-superlight-blanco/p/MCO17406841,buy_it_now,MCO,MCO1714,MCO-COMPUTER_MICE,672363,,1,,True,2043-10-16T04:00:00.000Z,True,[],MCO1648,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,178562922,PYN COMPUSTAR,36.0,18676.75,0.0,COP,Logitech G
