id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,official_store_id,accepts_mercadopago,stop_time,location,seller_contact,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,brand_value_name
MCO1388879383,Chevrolet Tracker Ls 1.8,used,MCO17047311,gold_premium,https://carro.mercadolibre.com.co/MCO-1388879383-chevrolet-tracker-ls-18-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,42000000,1,,False,2024-03-06T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBMTY3ODI', 'name': 'La Colina Campestre'}, 'city': {'id': 'TUNPQ1NVQjUzNzQ4', 'name': 'Suba'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.726241, 'longitude': -74.0665549}","{'contact': 'LUIS SANCHEZ.', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,1309618507,CLASSI2023021319171634366284,Chevrolet
MCO2217644194,Kia Rio Zenith 2024 1.4 Mt Full Equipo,used,MCO33651290,gold_premium,https://carro.mercadolibre.com.co/MCO-2217644194-kia-rio-zenith-2024-14-mt-full-equipo-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,75900000,1,,False,2024-03-21T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkVTVDc5MDk1', 'name': 'Estrada'}, 'city': {'id': 'TUNPQ0VORzkzMTUz', 'name': 'Engativa'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}}","{'contact': 'JOSE LUIS ARGUELLO', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,203256174,TUC_BOYACA16,Kia
MCO1394179487,Kenworth T370  8300,used,,gold_premium,https://vehiculo.mercadolibre.com.co/MCO-1394179487-kenworth-t370-8300-_JM,classified,MCO,MCO41696,MCO-TRUCKS,99999999,1,,False,2024-03-21T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlNJRTQ4MTcy', 'name': 'Siete de Agosto'}, 'city': {'id': 'TUNPQ0JBUjEyNTcx', 'name': 'Barrios Unidos'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6585432, 'longitude': -74.0733387}","{'contact': 'maceratti sas', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,353295193,TUC_7DEAGOSTOFQ,Kenworth
MCO1392564113,Mazda B2600 4x4,used,MCO17057812,gold_premium,https://carro.mercadolibre.com.co/MCO-1392564113-mazda-b2600-4x4-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,39500000,1,,False,2024-03-17T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ05FSWQ2ZWQ5', 'name': 'Neiva'}, 'state': {'id': 'TUNPUEhVSWExNDVkMQ', 'name': 'Huila'}, 'country': {'id': 'CO', 'name': 'Colombia'}}","{'contact': 'ALEXANDER CALDERON', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,150713939,TUC_NEIVA3,Mazda
MCO1390074305,Renault Clio Rt 1997,used,MCO17064165,gold_premium,https://carro.mercadolibre.com.co/MCO-1390074305-renault-clio-rt-1997-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,11800000,1,,False,2024-03-10T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ1RVTjFhNDk0', 'name': 'Tunja'}, 'state': {'id': 'TUNPUEJPWWE4YzMz', 'name': 'Boyaca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 5.5446422, 'longitude': -73.3575572}","{'contact': 'LUIS ANTONIO MONROY', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,203256174,TUC_BOYACA16,Renault
MCO2206727280,Ducati Hypermotard R ,used,,gold_premium,https://moto.mercadolibre.com.co/MCO-2206727280-ducati-hypermotard-r-_JM,classified,MCO,MCO1763,MCO-MOTORCYCLES,43000000,1,,False,2024-03-13T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxPUzI0NDQz', 'name': 'Los Cedros'}, 'city': {'id': 'TUNPQ1VTQTY3MTQ1', 'name': 'Usaquén'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 10.9159632, 'longitude': -74.8075766}","{'contact': 'Enrique', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,131871561,TUC_CHIA,Ducati
MCO1392551193,Ktm Adventure 890,used,,gold_premium,https://moto.mercadolibre.com.co/MCO-1392551193-ktm-adventure-890-_JM,classified,MCO,MCO1763,MCO-MOTORCYCLES,55000000,1,,False,2024-03-17T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ05FSWQ2ZWQ5', 'name': 'Neiva'}, 'state': {'id': 'TUNPUEhVSWExNDVkMQ', 'name': 'Huila'}, 'country': {'id': 'CO', 'name': 'Colombia'}}","{'contact': 'SEBASTIAN URIBE', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,150713939,TUC_NEIVA3,KTM
MCO1389943181,Bmw F 800 Gs Adventure 2016,used,,gold_premium,https://moto.mercadolibre.com.co/MCO-1389943181-bmw-f-800-gs-adventure-2016-_JM,classified,MCO,MCO1763,MCO-MOTORCYCLES,53000000,1,,False,2024-03-09T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBVTg0OTAyNg', 'name': 'Laureles'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2515938, 'longitude': -75.5887989}","{'contact': 'CARLOS BEDOYA', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,1629716891,CBEDOYA97680,BMW
MCO1386599121,Renault Duster 2020,used,MCO17800296,gold_premium,https://carro.mercadolibre.com.co/MCO-1386599121-renault-duster-2020-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,66000000,1,,False,2024-02-28T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ1RVTjFhNDk0', 'name': 'Tunja'}, 'state': {'id': 'TUNPUEJPWWE4YzMz', 'name': 'Boyaca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 5.5446422, 'longitude': -73.3575572}","{'contact': 'FRANCISCO PINTO', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,203256174,TUC_BOYACA16,Renault
MCO2211821778,Renault Logan 1.4 Entry Familier/ 2015,used,MCO17064487,gold_premium,https://carro.mercadolibre.com.co/MCO-2211821778-renault-logan-14-entry-familier-2015-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,33500000,1,,False,2024-03-17T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkVMMTg1MTE', 'name': 'El Progreso'}, 'city': {'id': 'TUNPQ01BUjU5NzU1', 'name': 'Martires'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.570868, 'longitude': -74.297333}","{'contact': 'Luz Marina Orozco', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,131867397,TUC_ACTIVAUTOS,Renault
