id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,location,seller_contact,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,brand_value_name
MCO1391027647,Kia Picanto  X-line  1250cc At Aa,used,MCO27943068,gold_premium,https://carro.mercadolibre.com.co/MCO-1391027647-kia-picanto-x-line-1250cc-at-aa-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,55000000,,1,,False,2024-03-13T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBNTcwOTM', 'name': 'La Estanzuela'}, 'city': {'id': 'TUNPQ01BUjU5NzU1', 'name': 'Martires'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.7292457, 'longitude': -74.0949982}","{'contact': 'Catalina C', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,224661264,TUC_PALOQUEMAO,Kia
MCO1390933779,Ford Fiesta Sportback Titanium 2017,used,MCO17050581,gold_premium,https://carro.mercadolibre.com.co/MCO-1390933779-ford-fiesta-sportback-titanium-2017-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,43900000,,1,,False,2024-06-11T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBUzEyODY5MQ', 'name': 'Las Palmas'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2386625, 'longitude': -75.564787}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,339592220,CONCESIONARIO DANCARS,Ford
MCO1390905937,Bmw Serie 7 2023 3.0 740i,used,MCO21074685,gold_premium,https://carro.mercadolibre.com.co/MCO-1390905937-bmw-serie-7-2023-30-740i-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,459000000,,1,1566.0,False,2024-06-11T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2476376, 'longitude': -75.5658153}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,137562324,CARLOSDAVIDOSORIO,BMW
MCO2205625362,Fiat 500x At 2018 4x2 23.000kms  Excelente Estado ,used,MCO17049384,gold_premium,https://carro.mercadolibre.com.co/MCO-2205625362-fiat-500x-at-2018-4x2-23000kms-excelente-estado-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,68000000,,1,,False,2024-03-12T04:00:39.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlNBTjY5MjQz', 'name': 'Santa Ana Occidental'}, 'city': {'id': 'TUNPQ1VTQTY3MTQ1', 'name': 'Usaquén'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6901223, 'longitude': -74.036622}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,41300210,RICHARDMARTINEZTORRES,Fiat
MCO1390665597,Mercedes Benz Linea C 200 Cgi Modelo 2012,used,MCO17058631,gold_premium,https://carro.mercadolibre.com.co/MCO-1390665597-mercedes-benz-linea-c-200-cgi-modelo-2012-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,69900000,,1,1749.0,False,2024-06-10T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlNPVDQzNjY2', 'name': 'Sotileza'}, 'city': {'id': 'TUNPQ1NVQjUzNzQ4', 'name': 'Suba'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.718775, 'longitude': -74.0744401}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],Carmax,MCO1743,False,False,,not_specified,[],,,84897492,CARMAXCOLOMBIA,Mercedes-Benz
MCO2205064896,Nissan Qashqai Sense 1.3 At Rojo 2023 Lls380,used,MCO21074689,gold_premium,https://carro.mercadolibre.com.co/MCO-2205064896-nissan-qashqai-sense-13-at-rojo-2023-lls380-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,125000000,,1,1958.0,False,2024-06-09T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQk5JWjQ3MDYz', 'name': 'Niza'}, 'city': {'id': 'TUNPQ1NVQjUzNzQ4', 'name': 'Suba'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],Sanautos Usados,MCO1743,False,False,,not_specified,[],,,259900520,SANAUTOS S.A,Nissan
MCO1390466223,Ford Ecosport 2020 2.0 Titanium At,used,MCO27539052,gold_premium,https://carro.mercadolibre.com.co/MCO-1390466223-ford-ecosport-2020-20-titanium-at-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,71000000,,1,,False,2024-03-11T04:00:20.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ1VTQTY3MTQ1', 'name': 'Usaquén'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,251372908,SEBASTIAN RIVA,Ford
MCO1390503343,Dodge Ram 1500,used,MCO17049288,gold_premium,https://carro.mercadolibre.com.co/MCO-1390503343-dodge-ram-1500-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,53000000,,1,,False,2024-03-11T04:00:05.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQk5VRTQ5MDA4', 'name': 'Nuevo Muzú'}, 'city': {'id': 'TUNPQ1RVTjE0ODY0', 'name': 'Tunjuelito'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.570868, 'longitude': -74.297333}","{'contact': 'Andres Montenegro', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,1676252805,AMONTENEGRO91601,Dodge
MCO1390424801,Toyota Corolla  / Modelo 2.019,used,MCO17066982,gold_premium,https://carro.mercadolibre.com.co/MCO-1390424801-toyota-corolla-modelo-2019-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,75000000,,1,,False,2024-03-11T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkNBTDUxODMwOA', 'name': 'Calasanz'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2609158, 'longitude': -75.5989846}","{'contact': 'OLIVER ZAMBRANO', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,1163774595,TUC_ELDIAMANTE,Toyota
MCO1390449767,Renault Megane Spd20,used,,gold_premium,https://carro.mercadolibre.com.co/MCO-1390449767-renault-megane-spd20-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,25500000,,1,,False,2024-03-11T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0NBSmUwZTcz', 'name': 'Cajicá'}, 'state': {'id': 'TUNPUENVTmE3NmQ4', 'name': 'Cundinamarca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.9187217, 'longitude': -74.022557}","{'contact': 'Jenifer Alejandra Castillo', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1743,False,False,,not_specified,[],,,1074743086,TUC_CAJICA2,Renault
MCO1390397201,Chevrolet Traker Lt At De Placa Ixz845,used,MCO17047319,gold_premium,https://carro.mercadolibre.com.co/MCO-1390397201-chevrolet-traker-lt-at-de-placa-ixz845-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,56000000,,1,1958.0,False,2024-06-09T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQk5JWjQ3MDYz', 'name': 'Niza'}, 'city': {'id': 'TUNPQ1NVQjUzNzQ4', 'name': 'Suba'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],Sanautos Usados,MCO1743,False,False,,not_specified,[],,,259900520,SANAUTOS S.A,Chevrolet
