id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,official_store_name,accepts_mercadopago,stop_time,location,seller_contact,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,brand_value_name
MCO2184930942,Hino Dutro,used,,gold_premium,https://vehiculo.mercadolibre.com.co/MCO-2184930942-hino-dutro-_JM,classified,MCO,MCO41696,MCO-TRUCKS,99000000,,1,1214.0,Autolarte Chevrolet,False,2025-01-29T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0lUQThkMzc5', 'name': 'Itaguí'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,134393083,AUTOLARTE CHEVROLET,HINO
MCO1388105741,Seat Ateca 1.4 Style Sport,used,,gold_premium,https://carro.mercadolibre.com.co/MCO-1388105741-seat-ateca-14-style-sport-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,99990000,,1,,,False,2024-06-01T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2476376, 'longitude': -75.5658153}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,235347662,USADOS MEDELLIN,SEAT
MCO2215925474,Kia Picanto Zenith Mt 2018 54.000km Unico Dueño!!!  ,used,,gold_premium,https://carro.mercadolibre.com.co/MCO-2215925474-kia-picanto-zenith-mt-2018-54000km-unico-dueno-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,38900000,,1,,,False,2024-06-18T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQk5JWjQ3MDYz', 'name': 'Niza'}, 'city': {'id': 'TUNPQ1NVQjUzNzQ4', 'name': 'Suba'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,143639237,TUC_CVTOTALAUTOSSAS,Kia
MCO1387035241,Nissan Tiida  1800cc Mt Aa,used,,gold_premium,https://carro.mercadolibre.com.co/MCO-1387035241-nissan-tiida-1800cc-mt-aa-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,27000000,,1,,,False,2024-02-29T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlBVRTgxNDk5', 'name': 'Puente Aranda'}, 'city': {'id': 'TUNPQ1BVRTg0NTU0', 'name': 'Puente Aranda'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.614995, 'longitude': -74.114656}","{'contact': 'J R', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,224661264,TUC_PALOQUEMAO,Nissan
MCO2183328484,Chevrolet Montana Ltz 2024 ,new,MCO27700710,gold_premium,https://carro.mercadolibre.com.co/MCO-2183328484-chevrolet-montana-ltz-2024-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,112520000,,1,1805.0,Autoniza,False,2025-01-28T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlRFVTMyMDY3', 'name': 'Teusaquillo'}, 'city': {'id': 'TUNPQ1RFVTY1OTk1', 'name': 'Teusaquillo'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6422765, 'longitude': -74.0907071}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,434903233,AUTONIZA. .,Chevrolet
MCO1388105683,Bmw M3 Competition Pro,used,,gold_premium,https://carro.mercadolibre.com.co/MCO-1388105683-bmw-m3-competition-pro-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,449900000,,1,,,False,2024-06-01T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkFHVTkzODgwMQ', 'name': 'Aguacatala'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.1990261, 'longitude': -75.5778849}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,235347662,USADOS MEDELLIN,BMW
MCO1386566189,Toyota Fortuner  2.7  27l Srv 2021,used,MCO17067066,gold_premium,https://carro.mercadolibre.com.co/MCO-1386566189-toyota-fortuner-27-27l-srv-2021-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,196900000,,1,,,False,2024-02-28T04:00:06.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkVMUDI3MDA0Ng', 'name': 'El Poblado'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2090645, 'longitude': -75.5676977}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,1116549905,CADI9173211,Toyota
MCO1386616671,Citroen C3 Sx,used,MCO17047658,gold_premium,https://carro.mercadolibre.com.co/MCO-1386616671-citroen-c3-sx-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,22000000,,1,,,False,2024-02-28T04:00:06.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlRFSjY4NTIy', 'name': 'Tejares Del Norte'}, 'city': {'id': 'TUNPQ1NVQjUzNzQ4', 'name': 'Suba'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.7649937, 'longitude': -74.0455731}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,1168863736,SAL2258398,Citroën
MCO1386603571,Ford Edge Limited,used,MCO17049944,gold_premium,https://carro.mercadolibre.com.co/MCO-1386603571-ford-edge-limited-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,59800000,,1,,,False,2024-02-28T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkpVTDQ3NjQy', 'name': 'Julio Flórez'}, 'city': {'id': 'TUNPQ1NVQjUzNzQ4', 'name': 'Suba'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}}","{'contact': 'NURY PATRICIA ORJUELA', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,1317682419,CENTROFOTOGRAFIATOBERIN,Ford
MCO1386590757,Volkswagen Tiguan Sport 2012,used,MCO17068973,gold_premium,https://carro.mercadolibre.com.co/MCO-1386590757-volkswagen-tiguan-sport-2012-_JM,classified,MCO,MCO1744,MCO-CARS_AND_VANS,58900000,,1,,,False,2024-05-28T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBUzEyODY5MQ', 'name': 'Las Palmas'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2386625, 'longitude': -75.564787}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],MCO1743,False,False,,not_specified,[],,,339592220,CONCESIONARIO DANCARS,Volkswagen
