id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id
MCO2078308298,El Poder De La Mente Subconsciente,new,MCO21315495,gold_special,https://www.mercadolibre.com.co/el-poder-de-la-mente-subconsciente/p/MCO21315495,buy_it_now,MCO,MCO1196,MCO-BOOKS,39000,1,,True,2043-11-29T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,['self_service_out'],,,1526042258,TECNILIBROS_LIBRERIA,36.0,1083.33,0.0,COP
MCO1374923943,"Sociedad Del Cansancio, La, De Han, Byung-chul. Editorial Herder, Tapa Blanda, Edición Tercera En Español, 2022",new,MCO23064396,gold_special,https://www.mercadolibre.com.co/sociedad-del-cansancio-la-de-han-byung-chul-editorial-herder-tapa-blanda-edicion-tercera-en-espanol-2022/p/MCO23064396,buy_it_now,MCO,MCO1196,MCO-BOOKS,25000,1,,True,2043-12-21T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,[],,,386768028,LCM6627181,36.0,694.44,0.0,COP
MCO1353172913,Libro La Mujer Que Soy - Britney Spears - Plaza & Janes,new,MCO26986277,gold_special,https://www.mercadolibre.com.co/libro-la-mujer-que-soy-britney-spears-plaza-janes/p/MCO26986277,buy_it_now,MCO,MCO1196,MCO-BOOKS,53500,1,2068.0,True,2043-10-22T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,515528688,E-BOOK S.A.S,36.0,1486.11,0.0,COP
MCO1337826943,"Esto Está Muy Ñam!: ¡esto Está Muy Ñam!, De Christhian Caina, Erwin Garcia. Editorial Planeta, Tapa Blanda, Edición 1 En Español, 2023",new,MCO26292460,gold_special,https://www.mercadolibre.com.co/esto-esta-muy-nam-esto-esta-muy-nam-de-christhian-caina-erwin-garcia-editorial-planeta-tapa-blanda-edicion-1-en-espanol-2023/p/MCO26292460,buy_it_now,MCO,MCO1196,MCO-BOOKS,69000,1,,True,2043-09-08T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36.0,1916.67,0.0,COP
MCO2200353290,"Como Salir Del Pozo: Como Salir Del Pozo, De Andrés Oppenheimer. Editorial Debate, Tapa Blanda, Edición 1 En Español, 2023",new,MCO30117186,gold_special,https://www.mercadolibre.com.co/como-salir-del-pozo-como-salir-del-pozo-de-andres-oppenheimer-editorial-debate-tapa-blanda-edicion-1-en-espanol-2023/p/MCO30117186,buy_it_now,MCO,MCO1196,MCO-BOOKS,62000,1,,True,2044-01-31T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36.0,1722.22,0.0,COP
MCO1241056125,Libro Resetea Tu Mente [ Descubre De Lo Que Eres Capaz ],new,MCO20835101,gold_special,https://www.mercadolibre.com.co/libro-resetea-tu-mente-descubre-de-lo-que-eres-capaz-/p/MCO20835101,buy_it_now,MCO,MCO1196,MCO-BOOKS,51000,1,,True,2043-02-11T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36.0,1416.67,0.0,COP
MCO1392051537,El Club De Las 5 De La Mañana. Robin Sharma. Editorial Grijalbo En Español. Tapa Blanda,new,MCO22136868,gold_special,https://www.mercadolibre.com.co/el-club-de-las-5-de-la-manana-robin-sharma-editorial-grijalbo-en-espanol-tapa-blanda/p/MCO22136868,buy_it_now,MCO,MCO1196,MCO-BOOKS,29900,1,,True,2044-02-09T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,[],,,707107798,RRYV.COM,36.0,830.56,0.0,COP
MCO2126343860,"El Mejor Equipo Del Mundo, De Mauricio Silva. Editorial Ed Planeta, Tapa Blanda En Español, 2020",new,MCO23805912,gold_special,https://www.mercadolibre.com.co/el-mejor-equipo-del-mundo-de-mauricio-silva-editorial-ed-planeta-tapa-blanda-en-espanol-2020/p/MCO23805912,buy_it_now,MCO,MCO1196,MCO-BOOKS,45000,1,,True,2043-12-28T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,['self_service_in'],,,1382245207,CIUDAD DEPAPEL,36.0,1250.0,0.0,COP
MCO1915932858,Leer Es Resistir De Mario Mendoza,new,MCO21186976,gold_pro,https://www.mercadolibre.com.co/leer-es-resistir-de-mario-mendoza/p/MCO21186976,buy_it_now,MCO,MCO1196,MCO-BOOKS,98000,1,,True,2043-11-09T04:55:32.000Z,True,[],,MCO3025,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,198879381,AMBROXIAJIWU,12.0,8166.67,0.0,COP
MCO1782903422,"Crónica De Una Muerte Anunciada, De Gabriel García Márquez. Editorial Debols!llo, Tapa Blanda En Español, 2023",new,MCO23212802,gold_special,https://www.mercadolibre.com.co/cronica-de-una-muerte-anunciada-de-gabriel-garcia-marquez-editorial-debolsllo-tapa-blanda-en-espanol-2023/p/MCO23212802,buy_it_now,MCO,MCO1196,MCO-BOOKS,34500,1,,True,2043-08-04T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36.0,958.33,0.0,COP
