id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id
MCO1307186035,"El Viento Conoce Mi Nombre, De Isabel Allende. Editorial Plaza & Janes, Tapa Blanda En Español, 2023",new,MCO23911184,gold_special,https://www.mercadolibre.com.co/el-viento-conoce-mi-nombre-de-isabel-allende-editorial-plaza-janes-tapa-blanda-en-espanol-2023/p/MCO23911184,buy_it_now,MCO,MCO1196,MCO-BOOKS,52000,,1,,True,2043-06-15T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36,1444.44,0,COP
MCO1270439845,Libro Lecciones De Estoicismo - John Sellars,new,MCO22028057,gold_special,https://www.mercadolibre.com.co/libro-lecciones-de-estoicismo-john-sellars/p/MCO22028057,buy_it_now,MCO,MCO1196,MCO-BOOKS,35000,,1,,True,2043-03-08T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36,972.22,0,COP
MCO1324528495,Biblia Infantil Reina Valera 1960 Para Niños - Forro Azul,new,MCO21386961,gold_pro,https://www.mercadolibre.com.co/biblia-infantil-reina-valera-1960-para-ninos-forro-azul/p/MCO21386961,buy_it_now,MCO,MCO1196,MCO-BOOKS,73987,,1,,True,2043-08-05T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,['MCO-chg-threshold-Jan-23'],,,702052164,VAMA8993855,12,6165.58,0,COP
MCO1390703989,"Valentía, De Kelbin Torres. Editorial Venado Real, Tapa Blanda En Español, 2020",new,MCO22105814,gold_special,https://www.mercadolibre.com.co/valentia-de-kelbin-torres-editorial-venado-real-tapa-blanda-en-espanol-2020/p/MCO22105814,buy_it_now,MCO,MCO1196,MCO-BOOKS,24990,,50,,True,2044-02-06T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,['self_service_out'],,,1249364674,LIBROSTODAY2103,36,694.17,0,COP
MCO1304226663,La Voz De Tu Alma - Lain Garcia Calvo,new,MCO19798728,gold_special,https://www.mercadolibre.com.co/la-voz-de-tu-alma-lain-garcia-calvo/p/MCO19798728,buy_it_now,MCO,MCO1196,MCO-BOOKS,92000,,1,2068.0,True,2043-06-04T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,True,cross_docking,me2,"['self_service_in', 'fs_threshold_mco_change_apr2021', 'mandatory_free_shipping']",,,515528688,E-BOOK S.A.S,36,2555.56,0,COP
MCO1292152295,"El Principito Edición De Lujo, De Antoine De Saint-exupéry. Editorial Planeta En Español",new,MCO23050324,gold_special,https://www.mercadolibre.com.co/el-principito-edicion-de-lujo-de-antoine-de-saint-exupery-editorial-planeta-en-espanol/p/MCO23050324,buy_it_now,MCO,MCO1196,MCO-BOOKS,49000,,1,,True,2043-05-01T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36,1361.11,0,COP
MCO1319660695,"Dieta Keto Perfecta Dkp, De Jorge Enrique Bayter Marín. Editorial Diana, Tapa Blanda En Español",new,MCO23780720,gold_special,https://www.mercadolibre.com.co/dieta-keto-perfecta-dkp-de-jorge-enrique-bayter-marin-editorial-diana-tapa-blanda-en-espanol/p/MCO23780720,buy_it_now,MCO,MCO1196,MCO-BOOKS,54000,,1,,True,2043-07-22T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36,1500.0,0,COP
MCO1899901560,Libro El Plan De Tu Alma - Robert Schwartz [ Original ],new,MCO19949007,gold_pro,https://www.mercadolibre.com.co/libro-el-plan-de-tu-alma-robert-schwartz-original-/p/MCO19949007,buy_it_now,MCO,MCO1196,MCO-BOOKS,117000,,1,,True,2043-12-14T19:36:04.000Z,True,[],,MCO3025,False,True,xd_drop_off,me2,"['self_service_in', 'fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",,,212059432,LIBRERIATIQUE,12,9750.0,0,COP
MCO1808621584,"Mini-netter. Atlas De Anatomía Humana 8ª Ed., De Frank Netter., Vol. 1. Editorial Elsevier, Tapa Blanda, Edición 8 En Español, 2023",new,MCO24157543,gold_special,https://www.mercadolibre.com.co/mini-netter-atlas-de-anatomia-humana-8-ed-de-frank-netter-vol-1-editorial-elsevier-tapa-blanda-edicion-8-en-espanol-2023/p/MCO24157543,buy_it_now,MCO,MCO1196,MCO-BOOKS,149000,,1,,True,2043-08-17T04:00:00.000Z,True,[],,MCO3025,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,721069600,LIBRERIAMEDICA CELSUS,36,4138.89,0,COP
MCO1968501342,Biblia Reina Valera 1960 Letra Grande,new,MCO23654258,gold_pro,https://www.mercadolibre.com.co/biblia-reina-valera-1960-letra-grande/p/MCO23654258,buy_it_now,MCO,MCO1196,MCO-BOOKS,107730,113400.0,1,,True,2043-10-12T04:00:00.000Z,True,[],,MCO3025,False,True,cross_docking,me2,"['fs_threshold_mco_change_apr2021', 'fs_threshold_mco_change_jul2021', 'self_service_in', 'mandatory_free_shipping']",,,610312125,PUNTO GENESIS,12,8977.5,0,COP
MCO1772787548,"Biblia Reina Valera 1960 Flexible Con Forro (mediana) ®, De S.b.u. Editorial Sociedad Bíblica Colombiana, Tapa Blanda En Español",new,MCO24863314,gold_pro,https://www.mercadolibre.com.co/biblia-reina-valera-1960-flexible-con-forro-mediana-de-sbu-editorial-sociedad-biblica-colombiana-tapa-blanda-en-espanol/p/MCO24863314,buy_it_now,MCO,MCO1196,MCO-BOOKS,58497,,1,,True,2043-07-31T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,[],,,702052164,VAMA8993855,12,4874.75,0,COP
MCO1782914680,"Lo Five Nights At Freddy's Ojos De Plata, De Scott Cawthon /  Kira Breed. Editorial Penguin Random House En Español",new,MCO24519137,gold_special,https://www.mercadolibre.com.co/lo-five-nights-at-freddys-ojos-de-plata-de-scott-cawthon-kira-breed-editorial-penguin-random-house-en-espanol/p/MCO24519137,buy_it_now,MCO,MCO1196,MCO-BOOKS,63000,,1,,True,2043-08-04T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36,1750.0,0,COP
MCO1337827289,Animales Bebes 10 Lindos Sonidos ( Tapa Dura) Solo Nuevos,new,MCO20757496,gold_pro,https://www.mercadolibre.com.co/animales-bebes-10-lindos-sonidos-tapa-dura-solo-nuevos/p/MCO20757496,buy_it_now,MCO,MCO1196,MCO-BOOKS,59000,,1,,True,2043-09-08T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,12,4916.67,0,COP
MCO1326008959,"Diccionario Pocket Español - Francés, Larousse",new,MCO21274937,gold_special,https://www.mercadolibre.com.co/diccionario-pocket-espanol-frances-larousse/p/MCO21274937,buy_it_now,MCO,MCO1196,MCO-BOOKS,29000,,1,2068.0,True,2043-08-09T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,515528688,E-BOOK S.A.S,36,805.56,0,COP
MCO1278503103,Romper El Circulo ( Libro Y Original),new,MCO21329973,gold_special,https://www.mercadolibre.com.co/romper-el-circulo-libro-y-original/p/MCO21329973,buy_it_now,MCO,MCO1196,MCO-BOOKS,52800,,1,,True,2043-03-26T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36,1466.67,0,COP
MCO1394314509,Código Nacional De Transito 2021 Actualizado,new,MCO22823998,gold_pro,https://www.mercadolibre.com.co/codigo-nacional-de-transito-2021-actualizado/p/MCO22823998,buy_it_now,MCO,MCO1196,MCO-BOOKS,19764,,1,,True,2044-02-15T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,[],,,1290321335,NOVAMARIA20230118163424,12,1647.0,0,COP
MCO1245177443,Atlas Del Mundo Para Niños,new,MCO19941710,gold_special,https://www.mercadolibre.com.co/atlas-del-mundo-para-ninos/p/MCO19941710,buy_it_now,MCO,MCO1196,MCO-BOOKS,51732,,1,,True,2043-02-13T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,"['MCO-chg-threshold-Jan-23', 'self_service_in']",,,394380898,MUNDIALDELIBROS,36,1437.0,0,COP
MCO1327827935,Los Juegos De Hambre. La Balada De Pájaros Cantores Y Serpientes. Suzanne Collins. Editorial Molino En Español. Tapa Blanda,new,MCO21329901,gold_pro,https://www.mercadolibre.com.co/los-juegos-de-hambre-la-balada-de-pajaros-cantores-y-serpientes-suzanne-collins-editorial-molino-en-espanol-tapa-blanda/p/MCO21329901,buy_it_now,MCO,MCO1196,MCO-BOOKS,65000,,1,,True,2043-08-13T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,"['fs_threshold_mco_change_apr2021', 'fs_threshold_mco_change_jul2021', 'self_service_in']",,,438128163,SOLUCIONESONLINE_COLOMBIA_SAS,12,5416.67,0,COP
