id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO2217468094,Boleta Festival Estéreo Picnic - Jueves 21 Marzo,new,free,https://articulo.mercadolibre.com.co/MCO-2217468094-boleta-festival-estereo-picnic-jueves-21-marzo-_JM,buy_it_now,MCO,MCO118006,MCO-CONCERT_TICKETS,400000,1,True,2024-04-20T04:00:00.000Z,False,[],MCO40433,False,False,not_specified,not_specified,[],,,389637727,ROBINSON.ALDANA,36,11111.11,0,COP,
MCO1390385499,Boleta Fep 2024 - Sábado 23/03 - Estéreo Picnic,new,free,https://articulo.mercadolibre.com.co/MCO-1390385499-boleta-fep-2024-sabado-2303-estereo-picnic-_JM,buy_it_now,MCO,MCO118006,MCO-CONCERT_TICKETS,500000,1,True,2024-04-10T04:00:00.000Z,False,[],MCO40433,False,False,not_specified,not_specified,[],,,80172726,DIEGOPINTO88,36,13888.89,0,COP,
MCO2120751502,Concierto Cali Vive El Flow 2023-oriental Piso 2,new,free,https://articulo.mercadolibre.com.co/MCO-2120751502-concierto-cali-vive-el-flow-2023-oriental-piso-2-_JM,buy_it_now,MCO,MCO118006,MCO-CONCERT_TICKETS,250000,1,True,2024-02-26T04:00:00.000Z,False,[],MCO40433,False,True,drop_off,me2,[],,,424805605,JUANSEOROZCO01,36,6944.44,0,COP,
MCO1389130261,Boletas Stereo Picnic 4 Dias Y 3 Dias,new,free,https://articulo.mercadolibre.com.co/MCO-1389130261-boletas-stereo-picnic-4-dias-y-3-dias-_JM,buy_it_now,MCO,MCO118006,MCO-CONCERT_TICKETS,1350000,1,True,2024-04-06T04:00:00.000Z,False,[],MCO40433,False,True,drop_off,me2,[],,,137748152,BOHORQUEZFELIPE34,36,37500.0,0,COP,
MCO1343887579,"Mini Bolso Transparente Aprobado Por El Estadio, Bolso Cruza",new,gold_special,https://articulo.mercadolibre.com.co/MCO-1343887579-mini-bolso-transparente-aprobado-por-el-estadio-bolso-cruza-_JM,buy_it_now,MCO,MCO118006,MCO-CONCERT_TICKETS,77464,1,True,2043-09-25T04:00:00.000Z,False,[],MCO40433,False,True,drop_off,me2,[],,,317352697,AYLINMITCHELLMARTNEZSANTIAG,36,2151.78,0,COP,Higuyst
MCO1343887585,"Mochila Transparente Aprobada Por El Estadio Para Nias, Jueg",new,gold_special,https://articulo.mercadolibre.com.co/MCO-1343887585-mochila-transparente-aprobada-por-el-estadio-para-nias-jueg-_JM,buy_it_now,MCO,MCO118006,MCO-CONCERT_TICKETS,180749,1,True,2043-09-25T04:00:00.000Z,False,[],MCO40433,False,True,drop_off,me2,['mandatory_free_shipping'],,,317352697,AYLINMITCHELLMARTNEZSANTIAG,36,5020.81,0,COP,Eccliy
MCO1343887595,"Bolsa Cruzada Transparente, Aprobada Por El Estadio Para Con",new,gold_special,https://articulo.mercadolibre.com.co/MCO-1343887595-bolsa-cruzada-transparente-aprobada-por-el-estadio-para-con-_JM,buy_it_now,MCO,MCO118006,MCO-CONCERT_TICKETS,98121,1,True,2043-09-25T04:00:00.000Z,False,[],MCO40433,False,True,drop_off,me2,['mandatory_free_shipping'],,,317352697,AYLINMITCHELLMARTNEZSANTIAG,36,2725.58,0,COP,KETIEE
MCO1343887597,"Mini Bolsa Transparente, Aprobada Por El Estadio, Rinonera C",new,gold_special,https://articulo.mercadolibre.com.co/MCO-1343887597-mini-bolsa-transparente-aprobada-por-el-estadio-rinonera-c-_JM,buy_it_now,MCO,MCO118006,MCO-CONCERT_TICKETS,77464,1,True,2043-09-25T04:00:00.000Z,False,[],MCO40433,False,True,drop_off,me2,[],,,317352697,AYLINMITCHELLMARTNEZSANTIAG,36,2151.78,0,COP,Edraco
MCO1343900171,Loog Bolsa De Concierto - Padre (mini Bolsa De Concierto),new,gold_special,https://articulo.mercadolibre.com.co/MCO-1343900171-loog-bolsa-de-concierto-padre-mini-bolsa-de-concierto-_JM,buy_it_now,MCO,MCO118006,MCO-CONCERT_TICKETS,258213,1,True,2043-09-25T04:00:00.000Z,False,[],MCO40433,False,True,drop_off,me2,['mandatory_free_shipping'],,,317352697,AYLINMITCHELLMARTNEZSANTIAG,36,7172.58,0,COP,Loog
MCO1343900189,"Lorbro Bolsa Transparente Aprobada Por El Estadio, Bolsas De",new,gold_special,https://articulo.mercadolibre.com.co/MCO-1343900189-lorbro-bolsa-transparente-aprobada-por-el-estadio-bolsas-de-_JM,buy_it_now,MCO,MCO118006,MCO-CONCERT_TICKETS,98121,1,True,2043-09-25T04:00:00.000Z,False,[],MCO40433,False,True,drop_off,me2,['mandatory_free_shipping'],,,317352697,AYLINMITCHELLMARTNEZSANTIAG,36,2725.58,0,COP,Lorbro
MCO1343900203,"Angjiny Bolsa Transparente Aprobada Para Estadios, Bolsas Cr",new,gold_special,https://articulo.mercadolibre.com.co/MCO-1343900203-angjiny-bolsa-transparente-aprobada-para-estadios-bolsas-cr-_JM,buy_it_now,MCO,MCO118006,MCO-CONCERT_TICKETS,67136,1,True,2043-09-25T04:00:00.000Z,False,[],MCO40433,False,True,drop_off,me2,[],,,317352697,AYLINMITCHELLMARTNEZSANTIAG,36,1864.89,0,COP,Angjiny
