one_star,two_star,three_star,four_star,five_star,total_reviews,rating_average,id
0,0,0,0,0,0,0.0,MCO1000199903
1,1,0,4,20,26,4.6,MCO1000205087
0,0,0,1,7,8,4.9,MCO1000205879
1,0,3,6,4,14,3.9,MCO1000209952
0,0,0,0,0,0,0.0,MCO1000211360
0,0,0,2,12,14,4.9,MCO1000320042
0,0,0,0,4,4,5.0,MCO1000322342
0,0,0,0,0,0,0.0,MCO1000363071
0,0,0,2,17,19,4.9,MCO1000475625
7,1,9,11,57,85,4.3,MCO1000534960
0,0,0,1,2,3,4.7,MCO1000967475
0,0,1,5,28,34,4.8,MCO1001089398
0,0,0,0,7,7,5.0,MCO1001089477
0,0,1,4,12,17,4.6,MCO1001090673
1,0,0,2,13,16,4.6,MCO1001218786
0,0,0,0,4,4,5.0,MCO1001220748
1,0,0,2,5,8,4.3,MCO1001222069
0,0,0,0,1,1,5.0,MCO1001224889
0,0,0,0,0,0,0.0,MCO1001229644
7,4,3,1,7,22,2.9,MCO1001271485
0,0,0,0,5,5,5.0,MCO1001271993
0,0,1,3,4,8,4.4,MCO1001274484
0,0,1,1,15,17,4.8,MCO1001417190
2,0,0,2,4,8,3.8,MCO1001422537
0,0,0,0,8,8,5.0,MCO1001556205
0,0,0,1,5,6,4.8,MCO1001557178
0,0,0,3,26,29,4.9,MCO1001558034
0,0,0,0,4,4,5.0,MCO1001558244
0,0,0,0,7,7,5.0,MCO1001559077
0,0,0,5,10,15,4.7,MCO1001559646
0,0,0,0,4,4,5.0,MCO1001805121
0,0,0,0,1,1,5.0,MCO1001805323
0,0,0,2,3,5,4.6,MCO1001818563
0,0,0,3,14,17,4.8,MCO1001837222
0,0,0,1,6,7,4.9,MCO1001979137
0,0,0,5,5,10,4.5,MCO1002009323
0,0,0,3,5,8,4.6,MCO1002015221
0,0,0,0,1,1,5.0,MCO1002016220
0,0,0,1,23,24,5.0,MCO1002017080
0,0,2,2,28,32,4.8,MCO1002021086
0,0,0,0,8,8,5.0,MCO1002022262
0,0,0,0,5,5,5.0,MCO1002026161
2,2,8,23,113,148,4.6,MCO1002034423
0,0,0,0,2,2,5.0,MCO1002035926
0,0,0,0,7,7,5.0,MCO1002038946
0,0,0,0,1,1,5.0,MCO1002048925
0,0,0,0,8,8,5.0,MCO1002050212
0,0,1,2,26,29,4.9,MCO1002052393
0,1,0,1,2,4,4.0,MCO1002052521
0,0,0,0,23,23,5.0,MCO1002053820
0,0,0,0,18,18,5.0,MCO1002053868
2,3,11,25,144,185,4.7,MCO1002059321
0,1,0,1,14,16,4.8,MCO1002059468
3,3,5,4,12,27,3.7,MCO1002107727
0,0,0,0,15,15,5.0,MCO1002114024
0,0,0,0,4,4,5.0,MCO1002114071
3,0,1,5,17,26,4.3,MCO1002116206
2,0,3,1,20,26,4.4,MCO1002130178
0,0,1,7,33,41,4.8,MCO1002131623
0,0,0,4,21,25,4.8,MCO1003239149
0,0,0,0,0,0,0.0,MCO1003240571
0,0,0,2,19,21,4.9,MCO1003240621
0,0,0,3,19,22,4.9,MCO1003241517
0,0,0,5,62,67,4.9,MCO1003569589
6,7,25,82,304,424,4.6,MCO1003580531
0,0,0,0,0,0,0.0,MCO1003588297
0,0,1,1,6,8,4.6,MCO1003589218
1,0,1,3,13,18,4.5,MCO1003589272
0,0,0,0,17,17,5.0,MCO1003861179
0,0,0,0,0,0,0.0,MCO1004080171
0,0,0,1,3,4,4.8,MCO1004081623
0,0,0,0,2,2,5.0,MCO1004419319
3,1,3,4,19,30,4.2,MCO1004419847
0,1,1,5,22,29,4.7,MCO1004420205
0,0,0,0,2,2,5.0,MCO1004638405
0,0,0,1,13,14,4.9,MCO1004638494
0,0,0,0,1,1,5.0,MCO1004651849
0,0,0,1,2,3,4.7,MCO1004652179
0,0,0,1,13,14,4.9,MCO1004655400
0,0,0,0,25,25,5.0,MCO1005260468
0,0,1,3,19,23,4.8,MCO1005260819
1,0,0,8,14,23,4.5,MCO1005262294
0,0,0,2,11,13,4.8,MCO1005262543
0,0,0,0,6,6,5.0,MCO1005262800
0,0,0,4,5,9,4.6,MCO1005262852
4,1,5,5,20,35,4.0,MCO1005264211
0,0,0,0,2,2,5.0,MCO1005508286
2,3,2,2,7,16,3.6,MCO1005508634
0,0,0,1,12,13,4.9,MCO1005813816
0,0,0,1,0,1,4.0,MCO1005815042
0,0,0,0,1,1,5.0,MCO1005816461
0,0,0,0,0,0,0.0,MCO1005816943
0,0,0,1,4,5,4.8,MCO1005817972
0,0,0,0,1,1,5.0,MCO1005885121
0,0,0,0,0,0,0.0,MCO1005886805
0,0,0,1,17,18,4.9,MCO1005887190
1,1,0,1,11,14,4.4,MCO1005888259
1,1,2,11,98,113,4.8,MCO1005890010
0,0,0,0,3,3,5.0,MCO1005890172
0,0,0,0,0,0,0.0,MCO1006119224
