level_id,power_seller_status,transactions_period,transactions_total,seller_id,user_type
5_green,platinum,historic,5829,199769978,brand
5_green,,historic,2343,1066063779,normal
5_green,platinum,historic,22299,1207093176,brand
5_green,gold,historic,812,605176448,normal
5_green,platinum,historic,7532,314186651,normal
5_green,gold,historic,9569,569567091,normal
5_green,platinum,historic,14716,56247344,normal
5_green,gold,historic,12664,86800592,normal
5_green,,historic,27,1369208350,normal
5_green,platinum,historic,5940,388583366,brand
5_green,platinum,historic,25497,168810672,brand
5_green,silver,historic,1368,363713608,normal
5_green,,historic,175,163599097,normal
5_green,,historic,147,53670755,normal
5_green,platinum,historic,42025,263335107,normal
5_green,gold,historic,878,297163625,normal
5_green,gold,historic,1516,167987404,normal
5_green,platinum,historic,7348,147716948,normal
5_green,silver,historic,1203,203351652,normal
5_green,platinum,historic,85527,191222360,normal
5_green,,historic,1070,17069918,normal
5_green,gold,historic,3615,351345067,normal
5_green,silver,historic,401,620946714,normal
5_green,gold,historic,12676,50119485,normal
5_green,gold,historic,1875,745681601,normal
5_green,platinum,historic,3187,1240398017,normal
5_green,silver,historic,2299,191392564,normal
5_green,gold,historic,4461,8019088,normal
5_green,platinum,historic,49273,91896930,normal
5_green,gold,historic,2927,167894884,normal
5_green,platinum,historic,16522,326375003,brand
5_green,silver,historic,3620,232748946,normal
5_green,silver,historic,215,80119390,normal
5_green,gold,historic,7753,87837511,normal
5_green,platinum,historic,19362,238038329,brand
5_green,,historic,420,220671109,normal
5_green,platinum,historic,31436,829311633,normal
5_green,gold,historic,3594,1225293716,normal
5_green,gold,historic,2047,182542784,normal
5_green,,historic,84,204005341,normal
5_green,platinum,historic,8482,265213021,normal
5_green,silver,historic,648,289775224,normal
5_green,platinum,historic,100481,160820235,normal
5_green,silver,historic,684,181408366,normal
5_green,gold,historic,3964,558714633,normal
5_green,gold,historic,2513,1105124864,brand
5_green,,historic,791,53544867,normal
5_green,platinum,historic,53127,212962423,brand
5_green,platinum,historic,9933,116598672,normal
5_green,platinum,historic,50133,736375189,normal
5_green,platinum,historic,16547,51921439,normal
5_green,gold,historic,4523,443923880,normal
5_green,gold,historic,3522,352040801,normal
5_green,,historic,4483,244782814,brand
5_green,platinum,historic,3381,221932056,normal
5_green,platinum,historic,31450,170121574,normal
5_green,gold,historic,2393,173556421,normal
5_green,platinum,historic,8015,144197738,normal
5_green,gold,historic,3104,566000227,normal
5_green,,historic,143,1158062225,normal
5_green,platinum,historic,11966,50557397,normal
5_green,platinum,historic,17712,628792052,normal
5_green,platinum,historic,6446,184437836,normal
5_green,platinum,historic,17649,549259885,normal
5_green,platinum,historic,6152,1388073780,normal
5_green,platinum,historic,53334,52392766,normal
5_green,,historic,239,1344944002,brand
5_green,platinum,historic,1799,384786289,normal
5_green,gold,historic,3202,1051315342,normal
5_green,platinum,historic,3336,257194071,normal
5_green,platinum,historic,16269,478332182,brand
5_green,platinum,historic,47610,178562922,normal
5_green,gold,historic,1869,557992892,normal
5_green,platinum,historic,9589,470474833,brand
5_green,platinum,historic,5024,24754567,normal
5_green,silver,historic,1561,555646469,normal
5_green,gold,historic,9620,659913138,normal
